band,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,niu_expected,niu_gap,block_timing,block_universe,ss_married,filing_married
18_25,35268960,35749714,24826442,5026.55349133454,24821415.4465087,133217.227305763,2259567.20773531,8801948.57306176,-613971.227305729,-613971.227305763,3.3993273973465e-08,56348,-670319.227305729,3303197,2121216
26_34,41599072,40488269,35195259,7125.90438875105,35188133.0956113,188855.689360892,3749582.56746262,1739409.02628699,921947.310639144,921947.310639108,3.58559191226959e-08,-138057.5,1060004.81063914,17711316,13689168
35_44,42521856,41798993,37147571,7521.18457830758,37140049.8154217,199331.680704145,3796219.71061702,1062055.15466542,523531.319295867,523531.319295855,1.13504938781261e-08,-227900.5,751431.819295867,26824602,21877339
45_54,42351820,41208228,35915185,7271.66617567172,35907913.3338243,192718.769925772,4738429.17555429,754604.260547111,950873.230074275,950873.230074228,4.74974513053894e-08,336869.5,614003.730074275,28032644,22975735
55_64,43489199,43305751,36005787,7290.01015744011,35998496.9898426,193204.934927924,6881877.30509431,618581.639991001,-9756.93492786796,-9756.93492792419,5.62286004424095e-08,-153232,143475.065072132,28274142,24463596
65p,53428014,54398325,41461822,8394.68120849501,41453427.3187915,222481.697775504,12363999.5489305,803379.830050304,-1192792.69777233,-1192792.6977755,3.17301601171494e-06,-860593.5,-332199.197772331,30568783,28184528
