band,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,niu_expected,niu_gap,block_timing,block_universe,ss_married,filing_married
18_25,35110504,34785957,24449680,6399.31171071924,24443280.6882893,138056.14753976,2504960.77066322,7975771.68858727,186490.852460232,186490.85246024,-8.09086486697197e-09,-174695,361185.852460232,3135486,1930225
26_34,41816936,41395419,35544779,9303.27597373983,35535475.7240263,200705.091186967,4566544.12803334,1494104.23912733,220811.908813068,220811.908813033,3.57977114617825e-08,-90412.5,311224.408813068,17590115,13265841
35_44,44241071,43996202,38365782,10041.6282766687,38355740.3717233,216634.003400874,4949571.04475313,907524.586924402,28234.9965991409,28234.9965991261,1.48720573633909e-08,-284327.5,312562.496599141,27523535,22322198
45_54,41071562,40587060,34795444,9107.14955242259,34786336.8504476,196473.93955976,5290533.87743131,706663.211685678,288028.06043543,288028.06044024,-4.81057213619351e-06,55882,232146.06043543,27254094,21997925
55_64,43196999,42344458,35053884,9174.79207856274,35044709.2079214,197933.231901016,6827263.24613932,670418.777840232,654607.768099007,654607.768098984,2.35158950090408e-08,223061,431546.768099007,27837281,23463953
65p,58283524,57505037,45866582,12004.8424078869,45854577.1575921,258987.586411622,10911173.4724249,998273.956394743,519499.413588293,519499.413588378,-8.4924977272749e-08,-806386.5,1325885.91358829,33335800,30785445
