band,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,niu_expected,niu_gap,block_timing,block_universe,ss_married,filing_married
18_25,35021359,34436567,24861918,6229.35916583107,24855688.6408342,120414.909267248,1416549.43524344,8284743.83318964,464377.090732755,464377.090732753,2.6775524020195e-09,23819,440558.090732755,3148925,1876682
26_34,41697801,41214594,35762571,8960.60792463938,35753610.3920754,173210.560107571,4140963.76229834,1493230.40573388,309996.439892426,309996.439892429,-3.02679836750031e-09,42306.5,267689.939892426,17415803,13145843
35_44,43539515,43427547,38189952,9568.80830891038,38180383.1916911,184967.209891069,4426616.23705659,1005514.78114341,-72999.2098910965,-72999.2098910687,-2.7765054255724e-08,-258933.5,185934.290108904,27636610,22062460
45_54,41301979,40698824,34619264,8674.14290050855,34610589.8570995,167673.12696707,5473014.92903183,782892.34082534,435481.873043347,435481.87303293,1.04168429970741e-05,201404,234077.873043347,27641729,21922686
55_64,43577763,42790580,35378237,8864.30986245285,35369372.6901376,171349.096975953,6799965.72673571,792590.680102858,615833.903023878,615833.903024048,-1.69151462614536e-07,133037,482796.903023878,28432022,23621382
65p,56714555,55892264,44276215,11093.7718376578,44265121.2281623,214445.09679109,10828723.9278175,1012863.94081121,607845.903208953,607845.90320891,4.29572537541389e-08,-716346.5,1324192.40320895,32766656,29780536
