band,pep_adults,ss_adults,residual_pep,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,34785957,35110504,10480732.4592505,10667223.3117107,0.932982812575767,1.77936850487619
26_34,41395419,41816936,6060648.36716071,6281460.27597374,1.01826967858449,3.64337106256629
35_44,43996202,44241071,5857095.63167755,5885330.62827667,0.556568496526122,0.482064804378757
45_54,40587060,41071562,5997197.08911218,6285225.14955242,1.19373514612786,4.80271126928866
55_64,42344458,43196999,7497682.02397958,8152289.79207856,2.01334729564846,8.73080194659324
65p,57505037,58283524,11909447.4288195,12428946.8424079,1.35377184436905,4.36207822985342
