band,pep_adults,ss_adults,residual_pep,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,34484205,35084886,9042385.7890047,9511616.72780974,1.74190183592748,5.18923821383079
26_34,41299207,41669289,4844737.02767767,5026469.98435844,0.89609953043408,3.7511418193092
35_44,42909680,42934716,4328445.20304665,4154143.81946659,0.0583458091507616,-4.02688206512061
45_54,41101632,41713388,5007951.29059315,5433222.33451923,1.48839831956065,8.4919165393023
55_64,43056654,43687192,6729082.95783187,7171927.56228673,1.46443799371869,6.58105431646434
65p,54459571,55236776,10813630.731846,11365330.5715593,1.42712288350564,5.10189272589601
