band,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,niu_expected,niu_gap,block_timing,block_universe,ss_married,filing_married
18_25,35084886,34484205,25589393,16123.7278097376,25573269.2721903,131450.061194962,831163.119423035,8211222.66958166,469230.938805038,469230.938805038,5.82076609134674e-10,632754.5,-163523.561194962,3207478,2092777
26_34,41669289,41299207,36665922,23102.9843584438,36642819.0156416,188349.043319227,3258171.52814755,1586565.49953009,181732.956680801,181732.956680773,2.7328496798873e-08,-405469,587201.956680801,17599381,13595276
35_44,42934716,42909680,38805023,24450.8194665895,38780572.1805334,199337.383580061,3389758.63624936,938686.566797309,-174301.383580076,-174301.383580061,-1.53959263116121e-08,-555343.5,381042.116419924,27183253,22339402
45_54,41713388,41101632,36303040,22874.334519229,36280165.6654808,186484.956073916,4303330.03078359,704621.259809525,425271.043926119,425271.043926084,3.49245965480804e-08,53298,371973.043926119,27776153,22815305
55_64,43687192,43056654,36538287,23022.5622867285,36515264.4377133,187693.395545142,6028592.54532476,700490.412502501,442844.60445947,442844.604454858,4.61260788142681e-06,124548.5,318296.10445947,28424129,24292525
65p,55236776,54459571,43899106,27660.5715592715,43871445.4284407,225505.160286692,9937158.96144623,876471.77039986,551699.83971318,551699.839713309,-1.2875534594059e-07,-30623,582322.83971318,31782608,29429976
