band,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,niu_expected,niu_gap,block_timing,block_universe,ss_married,filing_married
18_25,35612036,36009492,24533245,10061.4193123933,24523183.5806876,124651.13912282,3117609.49440983,8493350.0640254,-522107.139122836,-522107.13912282,-1.64727680385113e-08,120867,-642974.139122836,3425345,2317581
26_34,40947556,39853595,34252362,14047.3621211498,34238314.6378789,174033.069858765,4300066.24522352,1489247.18675642,919927.93014121,919927.930141236,-2.51457095146179e-08,-250152,1170079.93014121,17842641,13888285
35_44,41563153,40865552,35862198,14707.5778822603,35847490.4221177,182212.497048316,4488823.47708217,711450.597848439,515388.502951653,515388.502951684,-3.11993062496185e-08,-158750.5,674139.002951653,26428715,21726543
45_54,43610009,42499778,36132033,14818.2409062574,36117214.7590937,183583.503620223,5850180.11757615,715966.626950578,926647.496379529,926647.496379777,-2.4761538952589e-07,219313.5,707333.99637953,28651989,23609310
55_64,42544160,42559216,35539110,14575.0750746292,35524534.9249254,180570.916929709,6654705.88818865,560546.103815708,-195626.916929731,-195626.916929709,-2.20898073166609e-08,-288163,92536.083070269,27854735,24396215
65p,50091180,51041073,39167981,16063.32470331,39151917.6752967,199008.873420168,11262785.3413084,825378.856816207,-1148901.87342132,-1148901.87342017,-1.15390866994858e-06,-794072,-354829.873421322,28567638,26823669
