band,pep_adults,ss_adults,residual_pep,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,35245443,35551718,11563364.8563963,11736308.1553458,0.868977586691133,1.49561395923463
26_34,41666390,42338740,6508869.89790442,6983280.68279395,1.61365071464075,7.28868132764902
35_44,44712957,45234743,6182945.9312598,6487805.36399917,1.16696822355096,4.93065014846821
45_54,40645548,41289905,6394887.07896831,6846410.54235832,1.58530769470742,7.06069486160266
55_64,41940771,42835273,7631927.87855011,8333268.77221817,2.13277433550281,9.18956395852764
65p,59326707,60065871,13149270.5723444,13628452.4832846,1.24592116666782,3.64417104586805
