year,fa_oos_measured_ht2,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,block_timing,block_universe,niu_gap
2017,1044060,254368094,252828706,205486929,84273,205402656,1044060,35674170.5637888,12795939.4362128,495327.999998504,-1150957,1646284.9999985,-1.49643165059388e-06
2018,1077450,256682551,254976148,206610831,99435,206511396,1077450.00000012,36311534.4759478,13230667.5240754,628952.999976752,-1073721,1702673.99997675,-2.31288431677967e-05
2019,1129810,258658921,256949280,210552066,42630,210509436,1129810,33789675.5153941,13779978.4846026,579831.000003358,-986566,1566397.00000336,3.35794175043702e-06
2020,1118820,260326247,257310949,217800771,137235,217663536,1118820,27748174.8213745,13018058.178621,1896478.00000453,-180834.5,2077312.50000453,4.5312917791307e-06
2021,1032060,261852972,258460376,213088157,53391,213034766,1032060,33085834.0181834,13371835.9818063,2360536.00001026,-574713.5,2935249.50001026,1.02625344879925e-05
2022,1208790,263720596,260614133,214076151,56031,214020120,1208790,35050046.5394452,12752756.4605597,1897672.99999517,-1076878.5,2974551.49999517,-4.82940231449902e-06
2023,1181710,267316250,263537816,213367182,66458,213300724,1194174.21542332,37451556.9998186,13979709.215667,2584259.78451439,-1461841.5,4046101.28451438,-6.22990482952446e-05
