band,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,niu_expected,niu_gap,block_timing,block_universe,ss_married,filing_married
18_25,35551718,35245443,23822830,7420.15534582071,23815409.8446542,133331.701050507,2654451.80686504,8908913.04953442,172943.298946362,172943.298949493,-3.13142663799226e-06,-229743,402686.298946362,3137473,1839257
26_34,42338740,41666390,35366475,11015.6827939453,35355459.3172061,197939.215110472,5027679.03517937,1481190.86275665,474410.784857928,474410.784889528,-3.16000077873468e-05,-135485.5,609896.284857928,17652143,13020274
35_44,45234743,44712957,38759010,12072.3639991646,38746937.6360008,216926.567260632,5114009.96039253,1068935.97086739,304859.432739244,304859.432739368,-1.24680809676647e-07,-358377.5,663236.932739244,27899948,22381811
45_54,41289905,40645548,34454226,10731.5423583183,34443494.4576417,192833.536609991,5661050.06222245,733837.016745977,451523.463389887,451523.463390009,-1.22003257274628e-07,-29244,480767.463389887,27489488,21974113
55_64,42835273,41940771,34512754,10749.7722181661,34502004.2277818,193161.106331938,6857090.41391939,774837.464658023,701340.893640756,701340.893668062,-2.73060286417604e-05,201843.5,499497.393640756,27599688,23009588
65p,60065871,59326707,46451887,14468.483284585,46437418.5167154,259982.089059776,12137275.7212398,1011994.85110456,479181.910940209,479181.910940224,-1.49011611938477e-08,-910835,1390016.91094021,34431102,31052695
