band,pep_adults,ss_adults,residual_pep,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,35862410,35428882,11630354.0137546,11069734.901352,-1.2088646580082,-4.82030995565163
26_34,40212154,41318449,5789396.25844547,6715152.44754884,2.75114583516218,15.9905480256753
35_44,41343192,42040957,5507479.75786872,6017295.35171124,1.68773857616025,9.25678561258665
45_54,41881967,43063104,6402131.02256749,7397185.09898928,2.82015646495304,15.5425447076017
55_64,42999287,43076667,7639717.04549651,7531644.88732454,0.179956472301512,-1.4146094355114
65p,52677138,51754492,12573123.9018674,11440142.3130741,-1.75151125332588,-9.01113834267564
