band,pep_adults,ss_adults,residual_pep,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,35749714,35268960,11061515.7807971,10447544.5534913,-1.34477719178396,-5.55051621742133
26_34,40488269,41599072,5488991.59374964,6410938.90438875,2.7435181286708,16.7962966401503
35_44,41798993,42521856,4858274.86528245,5381806.18457831,1.72937898288603,10.7760745081972
45_54,41208228,42351820,5493033.43610144,6443906.66617567,2.77515451525845,17.3105305317254
55_64,43305751,43489199,7500458.94508537,7490702.01015744,0.423611173490568,-0.130084505486405
65p,54398325,53428014,13167379.378984,11974586.6812085,-1.78371484783768,-9.05869469880454
