band,ss_adults,pep_adults,filing_adults_published,qss_correction,filing_adults,filing_outside_pep,emitted,netting,not_in_universe,niu_expected,niu_gap,block_timing,block_universe,ss_married,filing_married
18_25,35428882,35862410,24370876,11728.9013520303,24359147.098648,127091.112402539,3003503.26746246,8626850.74629225,-560619.112402674,-560619.112402539,-1.35274603962898e-07,73541,-634160.112402674,3375632,2310113
26_34,41318449,40212154,34619958,16661.4475488461,34603296.5524512,180538.810896628,4163356.87340006,1626039.38504547,925756.189103323,925756.189103372,-4.95929270982742e-08,-179279.5,1105035.68910332,17841684,13978761
35_44,42040957,41343192,36041007,17345.3517112324,36023661.6482888,187949.406157484,4648191.1402469,859288.617621866,509815.593842472,509815.593842516,-4.37721610069275e-08,-238820,748635.593842472,26700663,21633010
45_54,43063104,41881967,35683092,17173.0989892781,35665918.9010107,186082.923578214,5624201.43386047,777929.588728966,995054.076399843,995054.076421786,-2.19432404264808e-05,308905.5,686148.576399843,28433071,23152258
55_64,43076667,42999287,35562137,17114.8873245421,35545022.1126755,185452.15817197,7119236.93391268,520480.111583858,-108072.158171995,-108072.15817197,-2.49419827014208e-08,-220035.5,111963.341828005,28159687,24451680
65p,51754492,52677138,40333761,19411.3130740711,40314349.6869259,210335.588793285,11753044.8270653,820079.074803002,-1132981.58879422,-1132981.58879328,-9.3202106654644e-07,-818032.5,-314949.088794217,29648411,27507891
