band,pep_adults,ss_adults,residual_pep,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,34436567,35021359,9701293.26843308,10165670.3591658,1.69817159765084,4.78675448606203
26_34,41214594,41697801,5634194.16803221,5944190.60792464,1.17241722677166,5.50205460882607
35_44,43427547,43539515,5432131.01819997,5359131.80830891,0.257827134468358,-1.34384111219864
45_54,40698824,41301979,6255907.26986758,6691389.14290051,1.48199613826681,6.96113056423462
55_64,42790580,43577763,7592556.4068384,8208390.30986245,1.83961750460031,8.11102176955028
65p,55892264,56714555,11841587.8686287,12449433.7718377,1.47120717815259,5.13314523315951
