band,pep_adults,ss_adults,residual_pep,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,36009492,35612036,11610959.5584352,11088852.4193124,-1.10375342145899,-4.49667520152128
26_34,39853595,40947556,5789313.43197992,6709241.36212115,2.7449493577681,15.8901040848746
35_44,40865552,41563153,5200274.07493058,5715662.57788226,1.70706369022007,9.91079499898402
45_54,42499778,43610009,6566146.74452648,7492794.24090626,2.61232188083429,14.112500564387
55_64,42559216,42544160,7215251.99200434,7019625.07507463,-0.0353765915236837,-2.71129708493194
65p,51041073,50091180,12088164.1981235,10939262.3247033,-1.86103650289641,-9.50435363542235
