year,wagepercentilelower,share_female_wages_0th_instant,share_female_wages_0th_5th,share_female_wages_5th_25th,share_female_wages_25th_50th,share_female_wages_50th_75th,share_female_wages_75th_99_99th,share_female_wages_99_99th_100th
2014,0,.4348,.0151,.0371,.0438,.0327,.1518,.2847
2014,.1,.4105,.0271,.0705,.0772,.0549,.0644,.2954
2014,.2,.3926,.0347,.0936,.1239,.0786,.0632,.2134
2014,.3,.3461,.0351,.1205,.18,.1086,.0607,.1491
2014,.4,.2701,.0374,.1431,.2616,.1299,.0528,.1052
2014,.5,.2379,.0332,.1425,.3128,.1643,.0436,.0659
2014,.6,.2078,.0386,.1498,.3454,.1745,.037,.047
2014,.7,.1898,.0349,.1474,.3687,.1896,.0336,.036
2014,.8,.1836,.0445,.1495,.378,.1855,.0302,.0287
2014,.9,.2254,.051,.1654,.3259,.1757,.0329,.0236
2014,.95,.3195,.0776,.1868,.2128,.1289,.0463,.0282
2014,.99,.4953,.124,.1478,.083,.0641,.0547,.0312
2014,.999,.6887,.1494,.0524,.0191,.0138,.0453,.0313
2014,.9999,.7877999999999999,.1325,.0139,.0047,.0043,.0307,.0262
2013,0,.4622,.0153,.0306,.0398,.0298,.1446,.2777
2013,.1,.3928,.0274,.0745,.0825,.0643,.0609,.2976
2013,.2,.3857,.0348,.0899,.1172,.0841,.0669,.2214
2013,.3,.3528,.0401,.1145,.1743,.1039,.0545,.16
2013,.4,.272,.0377,.1397,.2642,.1258,.0569,.1037
2013,.5,.2347,.04,.1403,.3105,.1641,.0428,.0677
2013,.6,.2113,.0408,.1401,.3489,.1747,.0375,.0466
2013,.7,.1889,.0405,.1465,.3628,.1945,.0337,.0332
2013,.8,.1828,.0428,.1546,.3783,.1805,.0338,.0273
2013,.9,.2196,.049,.1669,.3269,.1813,.0323,.024
2013,.95,.317,.0781,.1928,.2108,.1243,.0487,.0284
2013,.99,.4853,.1259,.1529,.0909,.0577,.0539,.0332
2013,.999,.6674,.1535,.0627,.0188,.0136,.0486,.0353
2013,.9999,.7896,.1363,.013,.0062,.0056,.0295,.0198
2012,0,.4656,.0134,.0284,.0415,.0313,.1543,.2656
2012,.1,.3888,.0279,.0729,.0786,.0613,.0745,.296
2012,.2,.3749,.0356,.0899,.1285,.0857,.069,.2165
2012,.3,.3347,.0425,.1095,.1821,.1016,.063,.1665
2012,.4,.2646,.0418,.1405,.2643,.1291,.0552,.1044
2012,.5,.2349,.0382,.148,.315,.1451,.0444,.0744
2012,.6,.2011,.0354,.1529,.3368,.1889,.0348,.0502
2012,.7,.1843,.0404,.1442,.375,.1852,.0352,.0357
2012,.8,.1885,.0446,.1502,.371,.1832,.0354,.0272
2012,.9,.2129,.0501,.1763,.3268,.1802,.0312,.0225
2012,.95,.3212,.0794,.182,.2148,.1245,.0502,.0279
2012,.99,.4987,.1351,.1467,.0806,.0564,.0544,.028
2012,.999,.6848,.1612,.0522,.0185,.0113,.0426,.0294
2012,.9999,.784,.1456,.0123,.0061,.0036,.0274,.0211
2011,0,.4659,.0159,.0294,.0388,.0305,.1625,.2571
2011,.1,.3839,.0265,.069,.0809,.0603,.0701,.3093
2011,.2,.3839,.0318,.0885,.1195,.0787,.0676,.2301
2011,.3,.33,.0388,.115,.1823,.1104,.0609,.1626
2011,.4,.2795,.0412,.1362,.2405,.1313,.0622,.1092
2011,.5,.2221,.039,.1441,.3128,.1615,.0499,.0707
