category,pce_name,pce_billions,nipa_line,in_cex
clothing,Clothing and footwear,401.1,104,TRUE
motor_vehicles,Motor vehicles and parts,529.4,4,TRUE
other_durables,Other durable goods,191.6,62,TRUE
furnishings,Furnishings and durable household equipment,319.2,23,TRUE
rec_goods,Recreational goods and vehicles,375.7,38,TRUE
other_nondurables,Other nondurable goods,1060.8,120,TRUE
food_off_premises,Food and beverages purchased for off-premises consumption,1010.4,73,TRUE
communication,Communication,255.6,281,TRUE
npish,Final consumption expenditures of NPISH,396.4,342,FALSE
other_services,Other services (residual after removing communication/education/net foreign travel),625.9,280,TRUE
transport_services,Transportation services,429.4,190,TRUE
rec_services,Recreation services,555.2,209,TRUE
net_foreign_travel,Net foreign travel,-43.5,333,FALSE
food_accommodations,Food services and accommodations,913.2,234,TRUE
health_care,Health care,2245.3,172,TRUE
utilities,Household utilities,326.9,165,TRUE
gasoline,Gasoline and other energy goods,324,113,TRUE
education,Education,277.4,290,TRUE
financial_insurance,Financial services and insurance,1073.2,252,TRUE
housing,Housing,2023.3,153,TRUE
