agi_bracket,n_bar
Adjusted gross deficit,5.387343692669015
"Under $20,000",3.0196941191312274
"$20,000 under $50,000",3.357447510183075
"$50,000 under $100,000",3.9693173720467962
"$100,000 under $200,000",4.722535747693784
"$200,000 under $500,000",7.5302758643800125
"$500,000 under $1,000,000",12.508117934895635
"$1,000,000 or more",24.3594936386566
