year,bucket,h,basis_sales_ratio
1985,Under 18 months,1.25,0.7732875437706018
1985,18 months under 2 years,1.75,0.7504223847428892
1985,2 years under 3 years,2.5,0.7010957060422078
1985,3 years under 4 years,3.5,0.6317204781806902
1985,4 years under 5 years,4.5,0.6074740129316553
1985,5 years under 10 years,7.5,0.5339469698489665
1985,10 years under 15 years,12.5,0.39499792783265825
1985,15 years under 20 years,17.5,0.35997970946160146
1985,20 years or more,27.5,0.2797660639320697
1997,Under 18 months,1.25,0.7291503631120584
1997,18 months under 2 years,1.75,0.7025209778381869
1997,2 years under 3 years,2.5,0.6792307623277938
1997,3 years under 4 years,3.5,0.6588069357436163
1997,4 years under 5 years,4.5,0.653162381610254
1997,5 years under 10 years,7.5,0.6398137828134502
1997,10 years under 15 years,12.5,0.5496739287460062
1997,15 years under 20 years,17.5,0.46909704761138665
1997,20 years or more,27.5,0.4385849654668895
1998,Under 18 months,1.25,0.7664256560043061
1998,18 months under 2 years,1.75,0.704928404713746
1998,2 years under 3 years,2.5,0.6660025418515757
1998,3 years under 4 years,3.5,0.6664414760987712
1998,4 years under 5 years,4.5,0.6453351308630152
1998,5 years under 10 years,7.5,0.6102654623245708
1998,10 years under 15 years,12.5,0.45737880618849364
1998,15 years under 20 years,17.5,0.3537065819438461
1998,20 years or more,27.5,0.28636601643453113
1999,Under 18 months,1.25,0.6923856113797575
2000,Under 18 months,1.25,0.6090780831456842
2001,Under 18 months,1.25,0.7903169721865961
2002,Under 18 months,1.25,0.8189002650948356
2003,Under 18 months,1.25,0.8156615821344677
1999,18 months under 2 years,1.75,0.6739766969249852
2000,18 months under 2 years,1.75,0.5622421010427269
2001,18 months under 2 years,1.75,0.7745676094366667
2002,18 months under 2 years,1.75,0.7926052556644031
2003,18 months under 2 years,1.75,0.8167732396391397
1999,2 years under 3 years,2.5,0.6223705565473258
2000,2 years under 3 years,2.5,0.5843631384464184
2001,2 years under 3 years,2.5,0.7433000183310418
2002,2 years under 3 years,2.5,0.7986625270650632
2003,2 years under 3 years,2.5,0.7990090699608606
1999,3 years under 4 years,3.5,0.5662032235513277
2000,3 years under 4 years,3.5,0.506234681326376
2001,3 years under 4 years,3.5,0.7206356501272602
2002,3 years under 4 years,3.5,0.7624406579478329
2003,3 years under 4 years,3.5,0.7534284546513883
1999,4 years under 5 years,4.5,0.6085193642035397
2000,4 years under 5 years,4.5,0.5033232710358961
2001,4 years under 5 years,4.5,0.6922546515383492
2002,4 years under 5 years,4.5,0.699428807243795
2003,4 years under 5 years,4.5,0.6912182248022096
1999,5 years under 10 years,7.5,0.5854083479318524
2000,5 years under 10 years,7.5,0.5436904297035267
2001,5 years under 10 years,7.5,0.6068790995180349
2002,5 years under 10 years,7.5,0.6562744472596038
2003,5 years under 10 years,7.5,0.6543142774782831
1999,10 years under 15 years,12.5,0.4940689931092032
2000,10 years under 15 years,12.5,0.5064391209156361
2001,10 years under 15 years,12.5,0.5793525903637805
2002,10 years under 15 years,12.5,0.5666578919059982
2003,10 years under 15 years,12.5,0.5586495365279656
1999,15 years under 20 years,17.5,0.3679991726448361
2000,15 years under 20 years,17.5,0.36333786592225387
