earn_dec,parent,weighted_n,n_rec,p,mean,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100
1,0,314464.1833214917,44,0.03205098468887727,0.352006524454874,0.00725294650951949,0.014018691588785,0.0478260869565217,0.0780487804878049,0.15220700152207,0.202388180530257,0.333333333333333,0.544993662864385,0.681325487767111,1,1
1,1,348221.42878691666,43,0.060478874945145505,0.49186995158009755,9.60614793467819e-4,0.04,0.0747547111041894,0.166666666666667,0.29296875,0.368391969055075,0.54834523036989,0.861244019138756,1,1,1
2,0,384611.9439380833,50,0.03981300452371614,0.3436966311212672,4.34593654932638e-4,0.0122390698306929,0.0320933625091174,0.0757650787362583,0.142857142857143,0.22192237479165,0.318355466618155,0.518070803009745,0.722690632817567,1,1
2,1,287691.8351156833,37,0.04830849181226023,0.3739434836726852,0.00207354160906829,0.0427350427350427,0.119569549621363,0.123924540216276,0.146013822641877,0.187061574434918,0.439024390243902,0.497737556561086,0.693730729701953,1,1
3,0,347274.17935395,48,0.03664786138901567,0.25672113746406844,6.1938680706101e-4,0.00862626698296312,0.0199026979212738,0.0518134715025907,0.0640204865556978,0.102219626168224,0.25,0.380164365181417,0.5,0.713860797144557,1
3,1,133689.629604325,17,0.022221407821457845,0.2910988342620374,0.006022282445046673,0.02508011704054619,0.1162227602905569,0.12090680100755669,0.14814814814814814,0.14814814814814814,0.21415270018621974,0.3151398433054668,0.4207389227330499,0.880410858400587,0.8873114463176575
4,0,219924.97172741668,28,0.02316634109929291,0.35841721721690895,0.00806126561870214,0.00979991833401388,0.0301924770411372,0.133092343082484,0.177652091944021,0.249422632794457,0.324534833405452,0.35281909373919107,0.814598889909356,1,1
4,1,169364.019798075,21,0.027915096676406154,0.28265432993180156,6.425960881963132e-4,0.004040268004444294,0.06290115532734275,0.09248462582860793,0.19747649505434972,0.30397446614484386,0.3152916447714136,0.3900377849104132,0.449793844487943,0.6181805172968912,1
5,0,177394.15801101667,25,0.018697493760395305,0.23747965237717314,6.65313861814311e-4,0.0012445937956999285,0.005613562366677894,0.013087577707492639,0.0196078431372549,0.11431557631381259,0.14689952470432188,0.2678315212192711,0.46567164179104475,0.6935963164941384,1
5,1,143731.29923599167,16,0.02365608891122193,0.3237565108632817,3.2865907099035934e-4,0.009091939047187447,0.10841622253256192,0.11715432153003544,0.11824376886454865,0.13759495485165543,0.4909090909090909,0.5564486212439718,0.6326194398682042,0.660538338746078,0.9304002884962135
6,0,183711.03105480832,23,0.018799234728331917,0.34423252463814263,2.4866343404202412e-5,0.00929032258064516,0.0100134964517393,0.1266891891891892,0.17760719261810248,0.3966286564204264,0.46566978837895173,0.4808023204365567,0.6057546693589096,0.8383205644691801,0.8985847290517435
6,1,69900.56721585833,8,0.011724444801651412,0.2074398205793981,0.0039964374614629245,0.0039964374614629245,0.011001100110011002,0.011001100110011002,0.07549430796884361,0.07549430796884361,0.1633814693791504,0.2673596073336221,0.6053421444245466,0.6053421444245466,0.6053421444245466
7,0,147968.78341945834,23,0.015811635609419877,0.16301840801783887,2.05180815593742e-4,0.0036500742048052627,0.004160945366787334,0.050786246332104434,0.05736684686693047,0.07438434013891812,0.1791436931467585,0.243517975870501,0.25478608584875617,0.41460802266523855,0.6280114774511396
7,1,105385.18102231667,11,0.017499418224224083,0.32177059885004083,0.003549371761198268,0.003549371761198268,0.012185940646064958,0.10714285714285714,0.21720243266724587,0.30049456396986707,0.332994923857868,0.4793289394847214,0.7536548479247185,0.7536548479247185,0.7536548479247185
8,0,130984.59716329166,18,0.013891396668905051,0.1549348620205457,1.988895334383028e-4,0.0017017173163917923,0.0029452189279403104,0.003949837069220895,0.036057150583675125,0.036057150583675125,0.06775600992386004,0.1442426234897674,0.3779289493575208,0.42476579902962985,0.8933433295189993
8,1,58953.14339338333,9,0.009620308728859401,0.04531538449362441,0.002925516353636417,0.004176690724405239,0.00546448087431694,0.01639344262295082,0.043216638405786226,0.045682990766559246,0.05906190015257658,0.06112752022601772,0.06112752022601772,0.09239139589334142,0.09239139589334142
9,0,133167.359349375,14,0.014217087253703804,0.27914466120027503,0.0036574661074807373,0.014778325123152709,0.015558698727015558,0.03352610845696086,0.10560588602175544,0.10560588602175544,0.14167316001983424,0.40623731957567677,0.6529576327401725,0.7650974958602278,0.8357327427094869
9,1,46193.59715285833,6,0.00746331754391288,0.2516447387641172,0.0010245507985092786,0.0010245507985092786,0.0016525647805393973,0.0016525647805393973,0.1307787876806382,0.18234772698493099,0.18234772698493099,0.18234772698493099,0.6194988917974771,0.6286909676583298,0.6286909676583298
10,0,48080.910660825,7,0.005640368891804626,0.2806813692812669,7.251763084900017e-4,7.251763084900017e-4,0.002043742002748685,0.002043742002748685,0.005418879375745096,0.4062492523386846,0.4062492523386846,0.4910459307243506,0.5309568480300187,0.5852548857408748,0.5852548857408748
10,1,17212.492440558333,2,0.0024481589348970675,0.013131953689153562,0.006006301693580149,0.00600630169358015,0.006006301693580149,0.006006301693580149,0.017837787618841163,0.017837787618841163,0.017837787618841163,0.017837787618841167,0.017837787618841163,0.017837787618841163,0.017837787618841163
total,total,3467925.3117656833,450,0.022289709475147326,0.3132783908918729,2.48663434042024e-5,0.007252946509519489,0.0277754815243449,0.0658237568909246,0.11969839773798299,0.187061574434918,0.303974466144844,0.42476579902963,0.60575466935891,0.8648440878297219,1
