year,unmarried_0,unmarried_1,unmarried_2,unmarried_3,unmarried_4,unmarried_5,unmarried_6,unmarried_7,unmarried_8,unmarried_9,unmarried_10,unmarried_11,unmarried_12,unmarried_13,unmarried_14,unmarried_15,unmarried_16,unmarried_17,unmarried_18,unmarried_19,unmarried_20,unmarried_21,unmarried_22,unmarried_23,unmarried_24,unmarried_25,unmarried_26,unmarried_27,unmarried_28,unmarried_29,unmarried_30,unmarried_31,unmarried_32,unmarried_33,unmarried_34,unmarried_35,unmarried_36,unmarried_37,unmarried_38,unmarried_39,unmarried_40,unmarried_41,unmarried_42,unmarried_43,unmarried_44,unmarried_45,unmarried_46,unmarried_47,unmarried_48,unmarried_49,unmarried_50,unmarried_51,unmarried_52,unmarried_53,unmarried_54,unmarried_55,unmarried_56,unmarried_57,unmarried_58,unmarried_59,unmarried_60,unmarried_61,unmarried_62,unmarried_63,unmarried_64,unmarried_65,unmarried_66,unmarried_67,unmarried_68,unmarried_69,unmarried_70,unmarried_71,unmarried_72,unmarried_73,unmarried_74,unmarried_75,unmarried_76,unmarried_77,unmarried_78,unmarried_79,unmarried_80,unmarried_81,unmarried_82,unmarried_83,unmarried_84,unmarried_85,unmarried_86,unmarried_87,unmarried_88,unmarried_89,unmarried_90,unmarried_91,unmarried_92,unmarried_93,unmarried_94,unmarried_95,unmarried_96,unmarried_97,unmarried_98,unmarried_99,unmarried_100,married_0,married_1,married_2,married_3,married_4,married_5,married_6,married_7,married_8,married_9,married_10,married_11,married_12,married_13,married_14,married_15,married_16,married_17,married_18,married_19,married_20,married_21,married_22,married_23,married_24,married_25,married_26,married_27,married_28,married_29,married_30,married_31,married_32,married_33,married_34,married_35,married_36,married_37,married_38,married_39,married_40,married_41,married_42,married_43,married_44,married_45,married_46,married_47,married_48,married_49,married_50,married_51,married_52,married_53,married_54,married_55,married_56,married_57,married_58,married_59,married_60,married_61,married_62,married_63,married_64,married_65,married_66,married_67,married_68,married_69,married_70,married_71,married_72,married_73,married_74,married_75,married_76,married_77,married_78,married_79,married_80,married_81,married_82,married_83,married_84,married_85,married_86,married_87,married_88,married_89,married_90,married_91,married_92,married_93,married_94,married_95,married_96,married_97,married_98,married_99,married_100
2023,3702967,3697149,3647741,3782517,3848042,3925746,4032617,4081291,4107341,4067222,4100715,4111371,4220544,4316697,4501742,4547643,4494695,4395131,4368514,4323572,4222719,4173386,4146804,3868863,3667249,3466382,3291491,3067578,2969012,2852922,2788108,2657698,2546072,2420574,2285849,2092773,2053343,1989249,1874354,1722332,1770944,1694910,1639560,1510001,1437708,1429426,1312640,1349063,1361198,1322020,1369070,1397736,1510076,1423813,1445024,1455594,1441810,1472986,1559094,1522011,1531746,1536909,1562859,1556889,1535882,1505373,1457250,1467291,1414669,1327173,1285385,1257583,1192780,1164870,1159452,1151743,1073235,824282,854834,910100,822271,706660,673559,640898,599991,552581,509593,452517,417952,362581,325811,272976,259530,207332,173257,134102,109965,80859,58838,41768,79407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12979,30952,39924,78853,148878,220210,353032,576637,789162,937942,1150947,1413332,1562446,1753261,1928049,2116897,2291071,2284756,2315801,2405205,2411308,2497720,2528274,2665953,2703716,2699539,2816413,2773719,2707363,2692478,2658078,2589459,2564067,2531609,2639656,2791497,2856183,2744221,2597984,2531628,2581318,2667864,2760257,2788648,2781066,2744261,2738036,2625937,2523917,2558824,2465176,2308047,2272999,2160202,2115543,1966438,1867072,1791065,1689768,1726762,1431814,1182742,1106357,1014268,962037,799709,684959,574929,528272,440518,355951,313160,227791,179003,156305,126790,87492,63177,47477,38112,18616,15680,11870,7452,9608
2024,3728594,3715399,3720403,3671768,3804471,3868855,3947773,4053899,4102742,4129978,4091155,4125415,4136857,4246781,4343529,4530010,4561255,4514713,4416966,4380272,4269960,4194229,4095454,4031062,3697781,3493238,3261567,3124883,2900590,2832155,2726273,2675149,2563450,2485801,2387688,2251595,2066066,2044973,1981276,1853618,1716586,1746101,1690945,1629261,1507141,1424422,1434241,1324410,1352436,1382372,1310787,1372400,1394200,1503959,1408292,1425952,1453056,1436674,1468782,1543727,1519080,1531289,1519786,1552558,1548443,1521407,1492748,1452619,1457497,1406524,1326568,1287476,1261740,1179100,1139734,1148769,1129282,1053526,815080,840863,878678,782043,680164,641136,614405,559788,520023,461098,403469,373127,313713,273490,221488,216205,164865,137908,102393,80006,57126,44799,79966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17004,27000,46074,65094,168194,215583,334650,503186,781373,996135,1174642,1347840,1608809,1725590,1904368,2062797,2230588,2368565,2332850,2363138,2442951,2428862,2513195,2555222,2676906,2732512,2706360,2828076,2776895,2720065,2685438,2642852,2581288,2536846,2535949,2627300,2783521,2847791,2743921,2598886,2513241,2562487,2644184,2742988,2755497,2741582,2717954,2700781,2584412,2487410,2517434,2413517,2259444,2219702,2098562,2048059,1895003,1811219,1742698,1622318,1661437,1366664,1116508,1038022,954761,906946,735436,625011,508249,470908,376452,310299,269395,185687,146929,128948,105696,61864,47048,30863,26077,13651,11588,4422,10118
2025,3749983,3739161,3735940,3741719,3691273,3822945,3888384,3966654,4072912,4122769,4151072,4112903,4147838,4160046,4270441,4368529,4548990,4566145,4526084,4423162,4329048,4238184,4121710,3969999,3865305,3485578,3299820,3072600,2964642,2750220,2694783,2601631,2542294,2476630,2421468,2346362,2217618,2038551,2018088,1936745,1828480,1693869,1752302,1683627,1635729,1488979,1412744,1407999,1329932,1356301,1377727,1317258,1390422,1406193,1508815,1412331,1397641,1436646,1435723,1471628,1555597,1498362,1507426,1500368,1537710,1527481,1524065,1486419,1461202,1459996,1411919,1335797,1292925,1262544,1170751,1145509,1131511,1121919,1059146,799571,819711,854269,746157,652526,605768,578766,524181,480081,414177,356703,321068,262415,227653,184075,175432,130257,105795,74058,59637,40043,81789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8019,42103,48112,72203,147395,232648,318522,488258,696249,1020492,1215523,1388286,1531177,1780476,1882957,2046709,2210973,2330751,2444191,2383850,2405211,2477133,2461023,2561518,2583603,2702041,2727314,2713779,2820259,2793164,2728861,2707201,2632045,2571062,2534139,2521111,2598911,2758539,2826966,2722064,2607089,2507167,2537877,2611811,2696601,2737918,2723233,2691627,2665680,2554471,2432904,2467524,2346535,2196642,2151476,2025867,1975808,1825716,1748968,1662055,1559696,1579212,1274488,1054964,974315,884945,844270,669431,565581,448541,407572,319853,264410,226112,154586,122275,101870,78198,42464,31817,20118,19530,7027,7809,8981
2026,3781518,3759200,3757651,3755128,3759316,3707881,3840476,3905329,3983722,4090876,4141642,4170476,4132884,4168490,4181219,4292741,4376568,4555608,4581932,4526432,4362260,4300105,4166818,4017632,3813130,3680684,3276495,3117774,2912788,2809879,2587316,2545944,2492670,2416659,2428647,2346990,2289404,2208309,1980547,1992075,1895445,1822744,1680257,1747784,1660061,1643719,1475222,1398480,1418127,1330030,1354419,1382015,1318991,1384254,1416875,1505630,1405602,1385988,1433977,1436473,1477834,1531169,1499880,1501273,1485130,1539989,1537942,1510498,1487486,1463039,1464071,1409548,1323369,1305258,1269706,1149224,1130000,1117208,1109735,1040718,789269,808476,820150,717972,614031,577972,541410,491266,430981,385372,316728,278000,222544,187924,146315,143116,101634,79503,54639,43769,82944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16044,28085,55141,76186,160412,204624,329268,445353,667096,902390,1250480,1417416,1566908,1703155,1959725,2046262,2168062,2346882,2387117,2525347,2446378,2419038,2538639,2489314,2604332,2590343,2715576,2730479,2735109,2809035,2802941,2738085,2690821,2625145,2565304,2520994,2509631,2593144,2733284,2811941,2708860,2596970,2485651,2509808,2574113,2684216,2695849,2684950,2658924,2612799,2492321,2392288,2408017,2284354,2130891,2089683,1973171,1895056,1748420,1697710,1599863,1491035,1498205,1202596,983820,895330,819231,768372,609644,494213,387237,339891,272283,201900,178771,118647,91931,75791,58847,23199,19024,12021,11832,2553,7126
2027,3821352,3791108,3778095,3777179,3772936,3776130,3725614,3857608,3922600,4001942,4110008,4161303,4190689,4153779,4189919,4203909,4304203,4388694,4569855,4586649,4465667,4331426,4227679,4051059,3862327,3631445,3488967,3073728,2954296,2757548,2644601,2461602,2393256,2380791,2330041,2376465,2276551,2265827,2161206,1956747,1954019,1880454,1800084,1660644,1740438,1643555,1633957,1468502,1390783,1399756,1323829,1357569,1389357,1311256,1383735,1409805,1500748,1415122,1387104,1428101,1438836,1481688,1528299,1490344,1506459,1479896,1533732,1524254,1494360,1481636,1456492,1446273,1382845,1325195,1300308,1255536,1140871,1118833,1107759,1091763,1020352,767976,783347,784442,691140,575552,551765,496261,457180,390339,343614,281968,233900,187632,155364,115599,109054,73018,55189,36126,82077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13035,31097,43141,79241,164475,219714,302181,467205,622064,870077,1114633,1472945,1599607,1739684,1885027,2100142,2211620,2290488,2441778,2445833,2600938,2474313,2469683,2564981,2529258,2620319,2613080,2734173,2735379,2748586,2814423,2804326,2739655,2701972,2623693,2553309,2503587,2506124,2580064,2723288,2795956,2677162,2571763,2464949,2477565,2535912,2647431,2662135,2632775,2615326,2567525,2451887,2351998,2353285,2228825,2085068,2049546,1903262,1828131,1688083,1628025,1527654,1411453,1416241,1125258,917016,823983,749261,686414,546203,419167,333849,275280,219891,157030,132385,91357,64864,51666,41553,15187,15016,10069,10250,6847
2028,3864788,3831204,3810305,3797901,3795183,3789911,3794028,3742878,3875017,3940987,4021291,4129910,4181762,4211805,4175445,4212812,4218738,4312713,4402407,4566972,4497158,4436140,4236216,4107262,3860539,3625836,3404296,3254411,2867105,2781028,2612623,2481081,2312085,2274228,2292233,2249878,2295044,2215461,2210233,2119012,1936482,1936806,1867574,1792115,1658033,1729409,1629524,1628259,1478333,1386430,1413402,1314912,1368411,1405802,1302107,1389993,1422989,1490478,1421348,1374600,1406837,1431479,1479876,1512671,1485640,1497518,1471909,1536348,1532503,1489736,1469185,1462018,1435305,1387152,1344019,1300830,1263524,1136948,1095101,1086166,1059650,987080,750487,749725,737048,646755,543591,507700,449479,412644,338442,292440,233412,191025,152373,121233,94642,79571,54014,38476,77905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10042,32111,47165,75248,196535,222735,340390,444958,678957,879553,1117407,1368377,1698021,1790205,1901615,2063454,2262502,2341410,2387544,2528332,2532256,2665942,2533254,2514415,2587366,2547820,2633263,2620205,2734717,2743218,2758508,2814429,2788111,2736966,2680280,2623792,2532452,2475591,2502458,2557837,2690515,2783073,2646434,2557818,2457186,2452364,2500740,2620798,2621129,2593900,2573603,2510938,2387235,2298047,2303336,2159164,2029635,1975254,1812824,1751192,1600216,1548311,1462100,1337839,1340534,1053210,840707,755921,686659,618319,474350,362378,284151,224962,183495,127626,107608,71173,46680,38037,23253,11471,9051,7274,10732
2029,3907008,3874811,3850633,3830360,3816115,3812304,3807887,3811356,3760323,3893453,3960473,4041366,4150566,4203081,4233648,4198537,4227858,4222627,4323838,4391997,4502729,4460861,4353283,4122270,3949920,3660584,3406794,3173018,3047445,2718138,2620497,2456371,2351065,2213289,2201254,2240544,2214508,2249834,2159819,2155569,2087928,1928950,1917343,1871271,1764271,1632968,1737868,1630361,1623148,1485913,1395090,1407354,1317531,1357657,1399823,1315281,1381540,1425941,1491903,1425947,1374375,1399947,1424073,1473309,1500083,1481548,1509203,1461268,1532556,1537140,1484985,1484717,1478270,1444663,1396546,1336440,1297657,1259256,1134894,1067390,1071998,1053006,955059,747108,713179,702257,611984,510764,467971,402484,362531,293409,241961,194839,159238,123351,91409,68704,56682,41207,80343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10042,34141,51197,87299,167611,261868,331371,477112,623801,899698,1118589,1367657,1593427,1864186,1967680,2073267,2206559,2372251,2423100,2445852,2568580,2581249,2724492,2590251,2547614,2596474,2567686,2628694,2646139,2756960,2730459,2752235,2812762,2773198,2720416,2677076,2611177,2531702,2468436,2474182,2547916,2665799,2756117,2614959,2529169,2432481,2424731,2467895,2588739,2578736,2533558,2532138,2458431,2323972,2242354,2223210,2075824,1950593,1892105,1744104,1672314,1518796,1460739,1394275,1249075,1230716,972969,744997,686304,607174,537897,403230,302760,237805,184306,145707,104758,80925,48173,30301,28486,17994,8772,3179,8027
2030,3943500,3917168,3894375,3870871,3848766,3833391,3830392,3825246,3828826,3778762,3912968,3980589,4062096,4171983,4225023,4256869,4212735,4231949,4239120,4320814,4323215,4465910,4366592,4222069,3913263,3726214,3451961,3197241,2979256,2860573,2556414,2478260,2313190,2258268,2134128,2120704,2172030,2181705,2184818,2112107,2135008,2031115,1909797,1909680,1836970,1739016,1631859,1715428,1640656,1630966,1476119,1390398,1408830,1322765,1342462,1408424,1316836,1396225,1441099,1493046,1425773,1370596,1410716,1425890,1451077,1487986,1486973,1510062,1445700,1532889,1525591,1480958,1468178,1464881,1435683,1386645,1340465,1287254,1237441,1119884,1046164,1061850,1030225,909370,704422,682786,662185,568143,475731,421412,350540,315288,263422,209489,157206,120670,92540,68723,51374,43145,81287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11044,34112,48217,84332,184650,233874,382365,485818,708139,868470,1128187,1347047,1579424,1797250,2042865,2125297,2230060,2310574,2460325,2510503,2519488,2605059,2649057,2774092,2612738,2606004,2616245,2574802,2661043,2668723,2754133,2747250,2735425,2797179,2774776,2716000,2665132,2594451,2533816,2444392,2455230,2512790,2626616,2727016,2585819,2501546,2387738,2385582,2448475,2555461,2526016,2481661,2493286,2399498,2274934,2183691,2172054,2018692,1886046,1823375,1658174,1594848,1449038,1380200,1312561,1148495,1130089,900815,684837,606910,530712,466948,336286,253525,200544,146465,100420,72026,61884,40158,23640,19862,11260,3149,6428
2031,3969833,3953778,3936831,3914712,3889414,3866187,3851609,3847831,3842718,3847262,3798266,3933077,4001325,4083555,4193989,4248316,4274093,4213842,4255520,4236359,4263387,4269804,4369014,4223573,4020184,3683275,3523329,3233096,3003373,2756138,2679232,2400942,2338535,2225566,2172032,2093012,2076721,2113821,2135693,2139015,2093717,2074825,2000504,1906595,1890398,1828216,1746887,1630261,1720268,1638469,1623488,1479312,1401582,1396848,1320083,1329360,1394023,1317538,1388271,1445517,1492850,1409990,1376131,1415076,1417037,1444330,1483717,1482019,1500353,1429075,1521078,1511971,1472728,1456265,1462268,1426301,1396291,1338523,1269778,1206708,1095756,1019601,1035073,988569,880300,679753,647164,610919,521099,434642,372666,308045,267265,223166,171180,125100,93066,70184,51596,37604,82678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8049,38162,41182,81327,170674,267951,357397,549007,710088,959506,1091539,1365998,1559027,1819589,1995469,2213814,2278663,2329464,2406030,2508535,2559877,2581646,2653793,2696665,2794010,2674328,2637229,2619110,2592458,2667085,2657074,2750456,2735672,2730132,2795973,2762116,2694485,2665111,2584063,2531535,2441042,2435159,2498162,2595873,2696776,2569748,2462256,2347192,2354970,2412892,2513570,2481316,2438004,2453171,2350658,2225608,2126081,2112682,1946796,1816948,1729296,1572457,1518554,1382343,1301481,1228536,1058212,1042494,807814,603134,530490,465793,401249,278849,210348,159040,116879,73497,53467,45550,29101,16062,12721,6925,6383
2032,3981900,3980244,3973547,3957271,3933353,3906973,3884561,3869180,3865389,3861170,3866786,3818375,3953821,4022809,4105625,4217373,4260625,4283298,4232530,4259845,4172084,4229374,4193969,4250511,4046155,3820176,3450342,3340798,3047699,2836330,2591442,2544778,2319416,2246331,2170581,2108218,2056591,2041056,2068960,2089185,2120765,2070152,2042236,1990740,1893600,1865325,1805873,1747425,1629254,1716957,1630815,1625867,1485684,1395314,1404520,1309471,1328539,1386378,1322216,1378776,1452726,1482152,1412742,1366533,1394540,1400505,1430663,1483917,1475320,1497489,1439231,1514076,1505559,1464902,1448279,1473977,1432295,1382809,1328387,1261363,1183223,1075123,1007037,986465,951539,836704,640405,600473,562635,489429,384255,334336,267422,225462,186119,136188,98078,74177,50964,39556,81789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13058,27128,50209,67271,174780,234835,370693,499710,748991,931822,1213045,1293348,1569573,1743259,2001338,2145354,2309095,2382683,2394231,2477255,2550596,2599763,2629515,2702058,2716400,2818615,2707368,2646648,2630685,2615154,2685605,2651420,2745111,2731266,2729389,2783600,2744991,2688846,2643774,2579248,2514621,2428896,2409004,2482814,2559939,2674370,2532707,2435845,2329417,2331352,2383444,2464835,2436012,2385137,2384187,2294534,2165783,2064432,2045220,1855410,1726543,1652318,1488941,1427070,1300640,1211227,1123808,983685,944935,724246,533020,464562,398946,322967,233633,161138,122283,88727,51375,39345,31959,16823,11874,6339,7291
