year,unmarried_0,unmarried_1,unmarried_2,unmarried_3,unmarried_4,unmarried_5,unmarried_6,unmarried_7,unmarried_8,unmarried_9,unmarried_10,unmarried_11,unmarried_12,unmarried_13,unmarried_14,unmarried_15,unmarried_16,unmarried_17,unmarried_18,unmarried_19,unmarried_20,unmarried_21,unmarried_22,unmarried_23,unmarried_24,unmarried_25,unmarried_26,unmarried_27,unmarried_28,unmarried_29,unmarried_30,unmarried_31,unmarried_32,unmarried_33,unmarried_34,unmarried_35,unmarried_36,unmarried_37,unmarried_38,unmarried_39,unmarried_40,unmarried_41,unmarried_42,unmarried_43,unmarried_44,unmarried_45,unmarried_46,unmarried_47,unmarried_48,unmarried_49,unmarried_50,unmarried_51,unmarried_52,unmarried_53,unmarried_54,unmarried_55,unmarried_56,unmarried_57,unmarried_58,unmarried_59,unmarried_60,unmarried_61,unmarried_62,unmarried_63,unmarried_64,unmarried_65,unmarried_66,unmarried_67,unmarried_68,unmarried_69,unmarried_70,unmarried_71,unmarried_72,unmarried_73,unmarried_74,unmarried_75,unmarried_76,unmarried_77,unmarried_78,unmarried_79,unmarried_80,unmarried_81,unmarried_82,unmarried_83,unmarried_84,unmarried_85,unmarried_86,unmarried_87,unmarried_88,unmarried_89,unmarried_90,unmarried_91,unmarried_92,unmarried_93,unmarried_94,unmarried_95,unmarried_96,unmarried_97,unmarried_98,unmarried_99,unmarried_100,married_0,married_1,married_2,married_3,married_4,married_5,married_6,married_7,married_8,married_9,married_10,married_11,married_12,married_13,married_14,married_15,married_16,married_17,married_18,married_19,married_20,married_21,married_22,married_23,married_24,married_25,married_26,married_27,married_28,married_29,married_30,married_31,married_32,married_33,married_34,married_35,married_36,married_37,married_38,married_39,married_40,married_41,married_42,married_43,married_44,married_45,married_46,married_47,married_48,married_49,married_50,married_51,married_52,married_53,married_54,married_55,married_56,married_57,married_58,married_59,married_60,married_61,married_62,married_63,married_64,married_65,married_66,married_67,married_68,married_69,married_70,married_71,married_72,married_73,married_74,married_75,married_76,married_77,married_78,married_79,married_80,married_81,married_82,married_83,married_84,married_85,married_86,married_87,married_88,married_89,married_90,married_91,married_92,married_93,married_94,married_95,married_96,married_97,married_98,married_99,married_100
2033,3985738,3992473,4000148,3994119,3976032,3951027,3925509,3902308,3886894,3883955,3880748,3886948,3839155,3975351,4044949,4129131,4230824,4275007,4298101,4237983,4204737,4143344,4156343,4063481,4061301,3800707,3599847,3269744,3118283,2861179,2638280,2463206,2407301,2244633,2187531,2091761,2035108,1990764,2006168,2041185,2050719,2094673,2042976,2013773,1975782,1862812,1858717,1792208,1739735,1615420,1708443,1639049,1634301,1499644,1400362,1398746,1311132,1338438,1385242,1318679,1379621,1453098,1456410,1410630,1357783,1389750,1395767,1438641,1472398,1472447,1491973,1430390,1504600,1494662,1452743,1437825,1468381,1397209,1351815,1301617,1240420,1152259,1040785,986520,961181,908748,800064,593482,546461,513438,438425,346060,297806,229250,192331,147194,104062,73445,54473,39455,83865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12056,27112,43176,75289,151645,234003,335089,525331,711735,1016394,1172923,1413159,1534203,1773221,1958445,2145128,2296480,2395750,2451237,2480982,2556281,2620864,2637911,2659325,2741974,2743497,2845873,2735321,2660167,2659304,2618286,2694098,2652919,2751640,2731155,2711475,2763856,2718682,2670240,2633482,2559827,2484985,2408153,2388930,2454915,2528375,2664563,2498296,2406503,2295264,2295200,2330081,2425468,2384494,2332774,2331678,2237443,2106651,2002919,1974864,1775212,1671160,1586681,1415982,1340099,1218144,1128016,1020970,880704,847268,629745,469698,406694,335518,266774,180331,116710,90416,59976,38939,30086,23716,12050,5538,6480
2034,3990276,3996479,4012514,4020850,4012998,3993819,3969682,3943416,3920196,3905620,3903651,3900965,3907779,3860727,3997542,4068543,4142673,4236269,4292974,4302601,4186009,4168974,4053367,4007078,3895212,3855036,3571222,3378595,3073907,2919120,2709343,2473513,2326026,2328095,2195720,2157213,2045565,2001732,1971519,1976897,2012855,2005713,2068461,2005591,2002167,1948205,1847945,1869537,1788325,1727297,1611858,1714035,1632694,1636062,1498343,1406347,1395931,1321263,1342981,1366622,1305070,1389157,1451357,1456758,1405845,1343315,1372614,1390079,1441048,1471972,1476342,1486766,1435533,1487537,1486846,1432484,1424002,1454453,1382467,1338515,1265368,1219734,1110569,986071,946808,923657,879946,759798,557055,506183,461906,403946,304478,257174,196184,151291,118131,83034,58375,40646,84559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12101,35208,40165,69300,156628,217937,351539,508813,716764,940196,1266865,1413845,1627562,1750651,1942175,2138863,2296094,2387444,2454460,2489455,2533590,2594363,2643584,2669467,2689391,2787967,2769778,2882379,2745314,2685561,2670919,2602645,2691720,2658216,2747010,2715647,2706868,2749155,2705956,2648310,2617860,2529966,2458668,2402793,2376891,2416047,2496660,2626435,2464501,2382301,2272776,2257840,2280058,2372642,2324072,2277568,2261763,2184062,2040160,1944211,1901666,1697257,1589380,1497257,1344573,1244493,1139804,1059320,932368,784339,731141,537947,396521,337383,276900,198321,137100,83867,61343,47089,24554,17515,12886,7154,6330
2035,3995873,4001180,4016659,4033349,4039851,4030899,4012592,3987703,3961462,3939100,3925477,3923990,3921856,3929408,3882976,4021212,4083214,4153276,4252444,4297662,4248735,4143406,4077125,3926706,3834577,3710335,3592296,3385913,3181844,2887088,2754886,2578256,2353678,2217478,2260699,2151223,2104394,2026148,1979207,1961856,1948130,2002467,1981628,2059062,1982770,1970226,1940303,1832680,1852248,1812481,1721176,1633537,1723643,1643747,1642087,1495832,1409853,1395643,1317262,1321398,1380211,1306795,1388613,1454041,1455609,1394162,1343593,1373760,1380686,1439746,1459349,1478240,1490721,1445486,1487071,1482640,1422317,1410346,1437866,1350975,1293442,1248184,1181697,1069533,950563,918955,881574,824818,707469,515892,455134,403728,351532,255782,215748,155266,122015,90248,63342,43211,82625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11075,30257,50236,66255,152597,229820,337314,502992,704787,924202,1224163,1472053,1629305,1831878,1932162,2088907,2272584,2416541,2464510,2506900,2548652,2558192,2620625,2655744,2700232,2701062,2812125,2778308,2903216,2774902,2690202,2681589,2614039,2660358,2656325,2715897,2694863,2683286,2728513,2692055,2626546,2597762,2512277,2456464,2363269,2347436,2385192,2458461,2587754,2437068,2342695,2229883,2222002,2231438,2329823,2263049,2209690,2183111,2109637,1964567,1869199,1822046,1615751,1518203,1431246,1245523,1159378,1054631,966177,825756,687655,639748,458417,329788,280531,228593,154814,108401,59737,47760,30457,16981,10603,8137,10861
2036,4002117,4006938,4021497,4037627,4052469,4057865,4049789,4030727,4005866,3980529,3959135,3945981,3945010,3943554,3951721,3906729,4038044,4094936,4169535,4242181,4244979,4219207,4058339,3948030,3774062,3627708,3475678,3364700,3193821,2999625,2698223,2597613,2430043,2272702,2152395,2219114,2120234,2076615,1977772,1941631,1948010,1922189,1996962,1976826,2045625,1962672,1951932,1937458,1850625,1859416,1811614,1724480,1658283,1750241,1655712,1647176,1482592,1411855,1417507,1313722,1328389,1372683,1305601,1379571,1440144,1442395,1377975,1346971,1373239,1378605,1453280,1448112,1486604,1479341,1442579,1470928,1488233,1414205,1385314,1409613,1319466,1259253,1200262,1136746,1017181,921132,869419,808519,773797,659910,479940,403596,347590,299285,214313,176589,121638,97029,64698,46915,86916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9006,28240,45387,91448,148512,212743,342403,491153,679448,934535,1180461,1471879,1683051,1829149,2038215,2105230,2250998,2365555,2491433,2513908,2544308,2581574,2610762,2660950,2671809,2727729,2706949,2816083,2789792,2920595,2789758,2688431,2657967,2600028,2653137,2643769,2680487,2655515,2657154,2706364,2686526,2604349,2553520,2492135,2423776,2342802,2318957,2360904,2434908,2560633,2413499,2297866,2186518,2176622,2165879,2283020,2192059,2153210,2112926,2045303,1872879,1786035,1747560,1539752,1438642,1345469,1170430,1074880,975401,860553,735629,620188,544178,375873,259045,227296,185182,119241,80578,41140,34786,17849,14362,6506,11100
2037,4007844,4013343,4027393,4042600,4056870,4070600,4076875,4068041,4049006,4025056,4000729,3979821,3967173,3966845,3965946,3975550,3919099,4053044,4116449,4175467,4180392,4197366,4146136,3941474,3792097,3583745,3436508,3282638,3152271,3025647,2822358,2547549,2453360,2341840,2203939,2113421,2159393,2071140,2030242,1956087,1916834,1906904,1884269,1975002,1979695,2033502,1947267,1941608,1953166,1839821,1847785,1820016,1714323,1664852,1745785,1649852,1648265,1476078,1417837,1421431,1313389,1315429,1385836,1297403,1373347,1442525,1440748,1373463,1333840,1367349,1383130,1464439,1441164,1474989,1487359,1416268,1478659,1475145,1400606,1372911,1370058,1303232,1219814,1159718,1103351,975821,892401,812789,765498,713693,602351,430877,356068,294115,253131,180569,140118,94534,72170,47227,90882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13573,23015,38275,70586,182975,226864,313288,483982,670868,892989,1147658,1394007,1703461,1869041,2024000,2204865,2263505,2351184,2444213,2538364,2579930,2598595,2632104,2635638,2688232,2714716,2766324,2728396,2811313,2799241,2932190,2795286,2667017,2662148,2603947,2635410,2643468,2661735,2645597,2646474,2685827,2672332,2576226,2525226,2466934,2409055,2299773,2295706,2332015,2394657,2521373,2376154,2267442,2146366,2122641,2100255,2228485,2137184,2073000,2060683,1950768,1793786,1702336,1654317,1466506,1334906,1258046,1081726,973316,878407,748723,650620,522336,459305,304272,204064,176581,147224,86519,53024,28018,23606,12741,10031,11937
2038,4011623,4019226,4033932,4048626,4061962,4075114,4089729,4095241,4086436,4068314,4045382,4021581,4001198,3989185,3989379,3989866,3993277,3930795,4071702,4118508,4108531,4155122,4112563,4025192,3803156,3595155,3375900,3239373,3089107,2991329,2842956,2653254,2419448,2390987,2273850,2153955,2091801,2134521,2051202,2021777,1932135,1891405,1888333,1893999,1980998,1977104,2043831,1943222,1954893,1943589,1846499,1848817,1834471,1729060,1670409,1739516,1655794,1654301,1480537,1401984,1419316,1318810,1309645,1381908,1296105,1377759,1450933,1445465,1356617,1335428,1368033,1383170,1460832,1428530,1472420,1477146,1414739,1481336,1462945,1377175,1346768,1322515,1276686,1164579,1116782,1071023,938044,842979,754723,710136,647558,538793,381477,303952,245950,207670,141071,106145,72593,53086,99165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8297,31015,36041,67480,167431,239125,339203,458871,646066,891029,1123098,1365616,1607076,1882456,2069484,2209163,2347151,2337990,2429042,2502238,2566426,2609869,2622730,2643706,2662501,2715731,2734217,2756377,2720832,2811274,2785115,2931030,2776095,2669913,2647949,2593955,2610396,2616744,2642394,2635083,2621632,2658335,2645157,2567928,2501051,2433983,2385268,2272010,2263801,2292026,2347749,2473484,2348885,2220005,2097548,2070644,2045959,2175634,2068818,2005418,1977292,1855021,1707624,1622392,1565936,1392002,1234508,1179887,989760,863377,771786,655282,566334,437969,380867,241339,155587,138162,112982,61914,39669,21115,14928,8554,9857
2039,4012202,4023160,4039947,4055294,4068107,4080319,4094361,4108209,4113749,4105861,4088762,4066360,4043126,4023398,4011900,4013445,4002701,4009099,3944239,4072028,4058792,4082115,4089032,3995447,3844188,3628139,3376273,3149503,3041150,2882705,2824045,2672635,2513005,2338398,2303094,2223415,2103335,2053348,2093354,2005089,1995278,1903507,1885729,1849157,1865219,1946860,1967522,2037363,1922881,1926177,1921105,1848831,1847643,1839338,1740926,1668134,1713408,1657480,1653447,1491539,1396416,1412911,1312876,1315797,1372202,1292121,1376541,1434664,1439354,1366815,1330181,1355008,1388757,1449104,1426492,1461206,1464603,1411961,1477990,1435858,1349238,1309538,1280714,1234768,1143864,1062396,1019339,892543,782749,707726,635970,587230,466424,331633,258904,200167,162547,111976,79395,53035,106535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13289,21710,49410,67093,157224,224875,332840,480994,663577,844312,1132171,1370656,1583691,1831916,2067720,2256011,2363660,2440458,2435866,2487484,2559380,2610093,2655105,2672022,2673076,2693628,2722612,2773441,2783897,2752679,2817091,2786398,2945043,2797921,2684800,2636837,2584942,2593425,2591296,2628529,2642030,2599085,2635686,2609405,2547444,2479146,2410521,2347765,2248287,2234150,2257069,2323350,2434089,2292213,2177280,2059961,2009763,1995951,2107766,2003533,1933829,1889029,1759090,1630255,1538164,1479162,1304687,1142928,1061315,901659,766240,670284,571637,471802,372226,299042,194417,114969,101366,85278,46400,25081,15078,10638,10033
2040,4009026,4023895,4044012,4061437,4074892,4086576,4099683,4112955,4126830,4133292,4126430,4109866,4088036,4065501,4046309,4036154,4023624,4006524,4028662,3941822,4005975,4018397,3994904,3974025,3838056,3638406,3407216,3206314,2955286,2888955,2720629,2679891,2549890,2423031,2264537,2267482,2188491,2051340,1972731,2067304,1949765,1967848,1893409,1896236,1842045,1865050,1949993,1961599,2022825,1915783,1920761,1927316,1859825,1866408,1824127,1737531,1671022,1696350,1665904,1664305,1501367,1400877,1401846,1304540,1314591,1350981,1285847,1374059,1428779,1439101,1375304,1338000,1353692,1383537,1442721,1424991,1454083,1457765,1402705,1456617,1405635,1312669,1280567,1253620,1186915,1105096,1014553,961756,849364,735597,645930,577554,511090,397909,271361,204934,164041,128654,87419,58325,110373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106,38820,34096,83344,163272,228738,339804,472588,662136,892547,1087511,1323295,1585057,1754634,2012374,2228305,2393132,2465938,2524436,2479600,2528900,2616668,2694939,2684203,2730271,2702977,2705357,2712437,2779571,2782087,2746122,2817862,2794652,2944839,2795530,2669717,2615842,2554473,2594942,2578784,2607205,2637988,2567825,2599272,2572915,2514931,2460001,2387689,2315886,2235641,2206187,2221262,2286272,2386320,2235001,2118910,2007296,1955903,1936300,2033742,1927809,1850396,1801113,1674994,1546965,1453094,1376887,1195903,1051243,952613,800061,672035,565093,475381,391302,292509,240757,152392,93220,82074,57569,30047,14503,10538,12975
2041,4002304,4020874,4044877,4065629,4081152,4093472,4106055,4118390,4131689,4146490,4153983,4147660,4131673,4110546,4088592,4070761,4052756,4035031,4027399,4022074,3889652,4003192,3943485,3879447,3790313,3652923,3412029,3200495,3017162,2778420,2748015,2582207,2534531,2470407,2337740,2203900,2210484,2136084,2013708,1948002,2031780,1927952,1925829,1861332,1878924,1827499,1833970,1942101,1954249,1994240,1918770,1894016,1930915,1867432,1869335,1822014,1750885,1667086,1703690,1659308,1664830,1494905,1397222,1390858,1289894,1310549,1348534,1290806,1377835,1429471,1446604,1381232,1341534,1358086,1372704,1454289,1438653,1455906,1422779,1410662,1433248,1387434,1304582,1264123,1216501,1144868,1067198,960983,902965,783459,683426,576280,499853,444710,331506,224909,168136,127538,98807,65319,116739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880,34228,50030,72293,165769,197232,331386,480073,680124,870524,1141154,1315417,1532647,1781001,1914264,2167638,2388257,2485035,2561375,2593321,2543202,2586567,2658608,2722878,2722539,2754618,2746600,2738191,2729058,2792418,2810053,2749215,2818981,2816009,2933624,2813169,2655995,2596701,2538246,2580990,2547215,2590787,2607537,2549548,2571207,2550651,2488619,2438947,2369415,2286398,2203617,2164950,2176992,2240199,2328458,2177708,2061427,1945199,1903517,1853351,1938273,1837119,1789071,1689959,1583641,1441956,1332433,1255179,1090914,945250,835502,700975,577345,482798,382823,319941,239270,182273,118338,65998,55020,41049,19387,9095,15072
2042,3992922,4014306,4041984,4066619,4085458,4099840,4113064,4124872,4137235,4151465,4167301,4175335,4169594,4154317,4133775,4113228,4085768,4065700,4056269,4029541,3967719,3865609,3931661,3830040,3703317,3612985,3448342,3215342,2994327,2850780,2581592,2613126,2435713,2456880,2402717,2274586,2159026,2174599,2092628,1977147,1924036,2014039,1936440,1914271,1843901,1867678,1806372,1812868,1952778,1945290,1979197,1934328,1896983,1954520,1865255,1866636,1807533,1736032,1649153,1686474,1644590,1654052,1498666,1386102,1395194,1286483,1307267,1350109,1294700,1365271,1444071,1448613,1370984,1330209,1340124,1359572,1431436,1422354,1425890,1414153,1373186,1403559,1355018,1250625,1222070,1148349,1086806,1007831,915440,836770,728473,623139,506543,424193,382652,282144,178347,137384,96731,76050,129227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11680,26677,45264,79618,156970,221080,296472,469635,680111,880800,1097401,1358983,1541815,1718133,1996847,2066296,2329132,2478535,2562970,2632802,2644921,2584447,2634292,2698451,2749832,2742713,2747802,2758888,2755356,2738898,2810701,2826676,2732681,2820799,2822952,2908536,2799843,2620729,2585760,2525314,2577097,2541972,2586432,2599625,2537491,2552360,2516235,2467959,2400796,2339474,2255555,2165515,2122656,2146740,2177965,2273330,2133090,2015035,1901372,1848250,1798827,1866804,1772310,1695407,1615025,1488640,1343916,1250772,1152614,1007956,847326,736265,591862,489906,387667,299170,255708,193008,130585,77199,48142,32615,29012,10360,12464
2043,3981894,4005076,4035540,4063846,4086557,4104251,4119541,4131987,4143824,4157122,4172391,4188773,4197391,4192366,4177682,4158552,4125688,4092399,4085342,4069091,3976328,3944386,3794574,3832199,3667222,3479953,3389995,3261242,3029685,2824693,2701493,2472693,2501447,2336972,2400265,2374200,2201863,2105032,2136732,2057053,1965649,1886298,1994860,1934604,1907283,1858252,1858842,1811109,1823814,1962371,1928814,1981515,1941724,1890770,1960326,1855605,1854100,1807019,1730246,1631150,1700360,1650800,1648406,1489936,1390076,1399315,1281093,1308832,1343353,1300196,1368122,1450674,1459005,1362942,1331903,1338325,1360951,1425384,1424697,1418358,1390133,1372118,1371534,1319830,1228585,1190977,1091554,1049860,957826,856924,764124,668838,549681,447512,362703,313843,234062,142510,108537,77008,142185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14411,35007,39528,64358,163253,211602,319830,420673,656360,926927,1126173,1305705,1564830,1730594,1886491,2123205,2193267,2440902,2545587,2599851,2712264,2704382,2626675,2673105,2713015,2790183,2763468,2750436,2765577,2740024,2745175,2801753,2810200,2716338,2829291,2811248,2890334,2794124,2601634,2579929,2519905,2557311,2525708,2580143,2558667,2502449,2526374,2492434,2430399,2362399,2310886,2217781,2133568,2076503,2098891,2121058,2206154,2082388,1951491,1836258,1772668,1721837,1770789,1679105,1607826,1493724,1388563,1241579,1130687,1029562,905134,724396,625291,495248,406378,297493,235581,189723,143179,96611,45937,30239,18421,15044,14957
2044,3969703,3994193,4026427,4057516,4083889,4105450,4124055,4138565,4151040,4163816,4178157,4193976,4210945,4220285,4215858,4202590,4176024,4142402,4113436,4086840,4011180,3948736,3861648,3696667,3663379,3477718,3270358,3170611,3058644,2821851,2658907,2557483,2326341,2401930,2289352,2353489,2297304,2140065,2083330,2105098,2025902,1936937,1872737,1971941,1912174,1888423,1842198,1858567,1822507,1815923,1969681,1924486,1993095,1951336,1899763,1978857,1861345,1857031,1795843,1729613,1635821,1689343,1646878,1641359,1479793,1402972,1397674,1275173,1293773,1334025,1290902,1356513,1458113,1470359,1368155,1330093,1323648,1364567,1406194,1413580,1376504,1360505,1334326,1342600,1291249,1182928,1137341,1033573,972022,881908,789420,676360,579794,479697,381956,290197,245655,185038,107888,78332,148380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9541,27847,46684,70170,152865,222208,322016,442446,613342,869335,1159005,1366843,1528555,1791770,1915520,2048014,2285153,2306092,2499359,2600912,2683569,2779524,2730539,2661627,2707286,2744423,2805511,2787092,2772640,2783419,2753934,2741527,2785106,2811687,2701470,2824385,2789053,2868334,2771573,2567443,2556410,2497145,2546244,2502326,2549318,2540597,2475618,2499896,2468225,2383473,2329145,2280748,2194469,2101922,2043058,2062967,2059825,2134003,2014220,1886297,1778323,1689413,1652389,1682382,1610886,1515786,1401798,1278128,1125890,1024495,919991,799264,639677,539434,404535,337796,243642,177428,140908,114811,74449,28672,21269,14718,23534
2045,3956322,3982120,4015623,4048477,4077626,4102846,4125321,4143144,4157684,4171101,4184925,4199818,4216228,4233924,4243868,4240861,4219242,4188177,4167553,4118492,4016906,3963474,3869276,3756140,3548580,3447202,3263399,3064720,2978993,2924311,2643609,2505014,2393986,2254301,2320955,2221300,2287387,2254465,2109388,2046439,2071264,1988698,1929107,1855896,1951501,1899685,1877498,1835948,1859070,1817909,1821208,1964475,1928310,2013641,1951533,1887090,1983962,1877781,1852215,1797498,1734392,1628468,1672310,1643312,1630067,1480341,1391684,1399862,1275292,1289558,1336881,1304846,1365420,1460043,1476875,1360384,1329008,1313630,1356988,1392542,1398138,1327201,1330578,1280782,1285612,1237828,1129666,1076455,992123,903250,803363,701452,599478,501790,402782,319866,235595,199424,138155,84083,158306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10461,27651,35570,73965,170898,232098,329368,452200,614398,852991,1106188,1386060,1578819,1682079,1989141,2087002,2227156,2370796,2398179,2576365,2674030,2731950,2814646,2770839,2698584,2747167,2754109,2823267,2807215,2784189,2792162,2756687,2736075,2783596,2799205,2697892,2810119,2756329,2854088,2768261,2544311,2520277,2480173,2520326,2471643,2528535,2526578,2446544,2475768,2432855,2360083,2289906,2242385,2158033,2055987,1983949,2003200,2000266,2062329,1953748,1814628,1710391,1611962,1571833,1588895,1539996,1416661,1318386,1188787,1024868,916659,813159,673917,544879,452551,333713,265363,187868,136948,99130,80542,45105,21730,10682,24504
2046,3941789,3968852,4003627,4037745,4068651,4096643,4122780,4144472,4162325,4177810,4192278,4206657,4222146,4239289,4257595,4268961,4255672,4235359,4207813,4173122,4068718,4001229,3878651,3764583,3606649,3366203,3254558,3096795,2888567,2828620,2758413,2497357,2378498,2284705,2202734,2275524,2192026,2278795,2194466,2071484,2040765,2043391,1959701,1906201,1854178,1962415,1913898,1877974,1834869,1890319,1816365,1813802,1965896,1921664,2009396,1962217,1892918,1967413,1867019,1834627,1807312,1722317,1627851,1669198,1625341,1637109,1492565,1390705,1394079,1286455,1296848,1332144,1299750,1366509,1459711,1478997,1344028,1321813,1300089,1343432,1361626,1368094,1305367,1300966,1251496,1244884,1165642,1072429,1014874,927207,838109,723144,614260,523716,426907,340592,259263,183327,153841,100347,168744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12397,24712,41002,62510,154734,218325,344788,458737,625517,820286,1068160,1294253,1582698,1748483,1867192,2152958,2229228,2350078,2433758,2452829,2613050,2688346,2796453,2855930,2779719,2729222,2777998,2778018,2824885,2795266,2767860,2788133,2753230,2699011,2778241,2798190,2686493,2804768,2746749,2826862,2744023,2540858,2509343,2473936,2484312,2455827,2499090,2496728,2429999,2432826,2385151,2324226,2256395,2190698,2108005,2015211,1940713,1947613,1938816,1989555,1895972,1743702,1640681,1535110,1499465,1499821,1434297,1309968,1203811,1072629,932977,808251,703909,570885,442407,366426,269153,201232,140082,92336,68067,58406,29269,17045,22734
2047,3926561,3954431,3990432,4025816,4057979,4087725,4116637,4141989,4163712,4182513,4199052,4214077,4229055,4245284,4263043,4282776,4285716,4269964,4256083,4201315,4135987,4051041,3921871,3783948,3574391,3448219,3165420,3075130,2907043,2720792,2654991,2606638,2369466,2303099,2181935,2170693,2221304,2167386,2225883,2167782,2046760,2032209,2020101,1948270,1874431,1838496,1933855,1884741,1870465,1835547,1886112,1824609,1821879,1968328,1942896,2012902,1956445,1891346,1954913,1855573,1838397,1782949,1714773,1619250,1662571,1617675,1641712,1490510,1402765,1393936,1292638,1310295,1329812,1304393,1349141,1451105,1476927,1332485,1315138,1269081,1306979,1344665,1323548,1275136,1255730,1205438,1189244,1106003,1000543,945916,857312,754609,650097,534252,447414,357538,279812,207363,142491,114420,188368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10544,28572,37083,80125,130809,204395,325807,464331,672756,807414,1043635,1269039,1504538,1769891,1941434,2036611,2296526,2318323,2464266,2475298,2514722,2643806,2745934,2826560,2883827,2791121,2754423,2790403,2809777,2839749,2821599,2793525,2791048,2747144,2696618,2761885,2780524,2672569,2769935,2726978,2813640,2725198,2531343,2497071,2444442,2480493,2433584,2475784,2468532,2402699,2391680,2349534,2273098,2214914,2141919,2049414,1968851,1884275,1906537,1880386,1914846,1827893,1666917,1583145,1472283,1403317,1417926,1329773,1211957,1095388,961356,823825,711309,600745,468323,357041,280405,206879,149150,97663,58695,43158,38715,20153,25264
2048,3911108,3939310,3976080,4012685,4046107,4077107,4107776,4135901,4161284,4183958,4203815,4220913,4236542,4252264,4269115,4288309,4290986,4298088,4287860,4263119,4149506,4109501,3990874,3813534,3616150,3374470,3258680,2965722,2898967,2730537,2584290,2522664,2464777,2270431,2251852,2143069,2131148,2160665,2121807,2203084,2125197,2033227,2020773,2004316,1925236,1863341,1846769,1954502,1872914,1877584,1854483,1921035,1844509,1833929,1975509,1929640,2004354,1948216,1889707,1944243,1846812,1835987,1758330,1703116,1597589,1661814,1609047,1633171,1479215,1409224,1397903,1292642,1312967,1324949,1317547,1343649,1431477,1480762,1335450,1302957,1252479,1286606,1307893,1265544,1230472,1220175,1131469,1127107,1039882,931485,854961,768242,655818,556252,456776,367169,291834,214718,161006,111842,213613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19178,28737,43873,62781,163210,189474,292960,459236,656101,896144,1019457,1264823,1465727,1700510,1925861,2091506,2194218,2409208,2381033,2512648,2522787,2581729,2694453,2772323,2872363,2900183,2804543,2771258,2813398,2820145,2829458,2797350,2800828,2778461,2722012,2653888,2732716,2757394,2652329,2767183,2716849,2800858,2704399,2517943,2480199,2419162,2475010,2413614,2463710,2434022,2375730,2361431,2320879,2225246,2167206,2096922,1998441,1921538,1815562,1848576,1827121,1828537,1739845,1590301,1502354,1383770,1319984,1342273,1232755,1093455,1004767,851694,717817,610142,514596,383319,294246,225002,153671,112203,64372,44603,26973,21482,27818
2049,3896087,3923960,3961026,3998395,4033032,4065288,4097213,4127093,4155250,4181586,4205317,4225737,4243441,4259819,4276169,4294459,4300442,4308180,4323698,4293992,4215514,4124568,4023551,3895629,3649916,3451093,3190962,3074592,2765972,2740514,2579942,2456056,2388626,2373267,2208587,2179373,2087500,2101145,2119805,2077502,2170725,2107906,2030491,1990660,1979024,1930170,1856774,1837783,1954374,1869309,1886158,1848222,1900221,1835316,1832619,1953314,1931041,1997153,1948485,1884616,1947527,1845841,1818434,1755718,1704566,1598603,1641100,1610855,1629521,1458475,1401189,1396683,1289768,1309794,1326900,1317683,1336017,1427949,1477312,1333462,1275151,1226885,1261911,1276494,1235325,1171855,1153298,1072195,1063742,959956,869617,789204,673781,572276,461980,380435,294387,232866,164162,119837,228915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15342,32645,36427,70582,141766,220445,304053,413576,647063,844760,1102153,1224972,1485152,1643653,1870652,2071995,2241387,2299439,2482457,2463070,2576180,2559429,2627906,2742742,2808065,2892524,2904868,2835778,2796586,2807720,2824785,2835062,2792845,2799053,2763643,2720876,2665762,2731182,2746111,2659147,2747444,2703440,2777554,2685019,2488691,2453610,2407162,2445700,2378747,2428556,2418872,2336141,2323966,2299303,2189783,2122235,2051652,1949851,1863621,1755069,1787171,1752325,1743839,1651280,1520277,1420978,1292799,1224366,1231900,1138763,995960,894545,739758,624081,496491,401252,311101,226062,182083,110521,81030,40251,30619,18618,30949
