year,mortgage,charity,salt_inc_sales,salt_prop
2017,334.8,286.65,805.8,535.2
2018,350.1,292.09,848.9,554.6
2019,365.8,309.66,907.7,588.6
2020,363.7,324.1,909.6,607.1
2021,361.8,326.87,1057.1,639.5
2022,385.1,319.04,1173.2,676.7
2023,434.7,374.4,1137.2,728.3
2024,,,1182,780.5
