h_bucket,h_midpoint,pi_l,loss_bsr
Under 18 months,1.25,0.1482795960468827,1.1483448499553495
18 months under 2 years,1.75,0.10517359565806916,1.1815679561321597
2 years under 3 years,2.5,0.13462839298735996,1.2064462486658172
3 years under 4 years,3.5,0.09369439202769471,1.261228512659838
4 years under 5 years,4.5,0.07359794203326578,1.329629488793004
5 years under 10 years,7.5,0.29944369490176603,1.395990775722507
10 years under 15 years,12.5,0.09122874216922709,1.4840458650441617
15 years under 20 years,17.5,0.03107240651916826,1.636674383986131
20 years or more,27.5,0.0228812376565664,1.63034354751029
