slice,variant,year,quarter,bucket,category,dollars
age,aggregate,1990,4,age55to69,Private businesses,1081307000000
age,aggregate,1990,4,age55to69,Real estate,1994468000000
age,aggregate,1990,4,age70plus,Assets,4274585000000
age,aggregate,1990,4,age70plus,Consumer credit,33113000000
age,aggregate,1990,4,age70plus,Consumer durables,207142000000
age,aggregate,1990,4,age70plus,Corporate equities and mutual fund shares,373715000000
age,aggregate,1990,4,age70plus,DB pension entitlements,526644000000
age,aggregate,1990,4,age70plus,DC pension entitlements,16701000000
age,aggregate,1990,4,age70plus,Home mortgages,37908000000
age,aggregate,1990,4,age70plus,Liabilities,93536000000
age,aggregate,1990,4,age70plus,Net worth,4181049000000
age,aggregate,1990,4,age70plus,Other assets,1659908000000
age,aggregate,1990,4,age70plus,Other liabilities,22515000000
age,aggregate,1990,4,age70plus,Private businesses,398706000000
age,aggregate,1990,4,age70plus,Real estate,1091768000000
age,aggregate,1990,4,ageunder40,Assets,3930664000000
age,aggregate,1990,4,ageunder40,Consumer credit,383371000000
age,aggregate,1990,4,ageunder40,Consumer durables,633816000000
age,aggregate,1990,4,ageunder40,Corporate equities and mutual fund shares,197120000000
age,aggregate,1990,4,ageunder40,DB pension entitlements,222959000000
age,aggregate,1990,4,ageunder40,DC pension entitlements,160793000000
age,aggregate,1990,4,ageunder40,Home mortgages,1080538000000
age,aggregate,1990,4,ageunder40,Liabilities,1481460000000
age,aggregate,1990,4,ageunder40,Net worth,2449204000000
age,aggregate,1990,4,ageunder40,Other assets,684207000000
age,aggregate,1990,4,ageunder40,Other liabilities,17551000000
age,aggregate,1990,4,ageunder40,Private businesses,475241000000
age,aggregate,1990,4,ageunder40,Real estate,1556529000000
age,aggregate,1991,1,age40to54,Assets,8415854000000
age,aggregate,1991,1,age40to54,Consumer credit,283476000000
age,aggregate,1991,1,age40to54,Consumer durables,703065000000
age,aggregate,1991,1,age40to54,Corporate equities and mutual fund shares,706982000000
age,aggregate,1991,1,age40to54,DB pension entitlements,1337025000000
age,aggregate,1991,1,age40to54,DC pension entitlements,626122000000
age,aggregate,1991,1,age40to54,Home mortgages,1027434000000
age,aggregate,1991,1,age40to54,Liabilities,1383021000000
age,aggregate,1991,1,age40to54,Net worth,7032833000000
age,aggregate,1991,1,age40to54,Other assets,1421916000000
age,aggregate,1991,1,age40to54,Other liabilities,72111000000
age,aggregate,1991,1,age40to54,Private businesses,1137128000000
age,aggregate,1991,1,age40to54,Real estate,2483616000000
age,aggregate,1991,1,age55to69,Assets,8643676000000
age,aggregate,1991,1,age55to69,Consumer credit,111520000000
age,aggregate,1991,1,age55to69,Consumer durables,500997000000
age,aggregate,1991,1,age55to69,Corporate equities and mutual fund shares,904041000000
age,aggregate,1991,1,age55to69,DB pension entitlements,1824828000000
age,aggregate,1991,1,age55to69,DC pension entitlements,375553000000
age,aggregate,1991,1,age55to69,Home mortgages,376841000000
age,aggregate,1991,1,age55to69,Liabilities,539689000000
age,aggregate,1991,1,age55to69,Net worth,8103987000000
age,aggregate,1991,1,age55to69,Other assets,1960252000000
age,aggregate,1991,1,age55to69,Other liabilities,51328000000
age,aggregate,1991,1,age55to69,Private businesses,1078972000000
age,aggregate,1991,1,age55to69,Real estate,1999033000000
age,aggregate,1991,1,age70plus,Assets,4411527000000
age,aggregate,1991,1,age70plus,Consumer credit,29740000000
age,aggregate,1991,1,age70plus,Consumer durables,218506000000
age,aggregate,1991,1,age70plus,Corporate equities and mutual fund shares,449444000000
age,aggregate,1991,1,age70plus,DB pension entitlements,536530000000
age,aggregate,1991,1,age70plus,DC pension entitlements,17562000000
age,aggregate,1991,1,age70plus,Home mortgages,34377000000
age,aggregate,1991,1,age70plus,Liabilities,86199000000
age,aggregate,1991,1,age70plus,Net worth,4325328000000
age,aggregate,1991,1,age70plus,Other assets,1675050000000
age,aggregate,1991,1,age70plus,Other liabilities,22082000000
age,aggregate,1991,1,age70plus,Private businesses,400987000000
age,aggregate,1991,1,age70plus,Real estate,1113448000000
