variable,description,source,name_puf,grow_with,base_year,impute_module,calibrate_source
id,record ID,puf,RECID,NA,2017,NA,NA
weight,record weight,imputed,NA,NA,2017,NA,NA
filer,whether tax unit filed tax return,imputed,NA,NA,2017,NA,NA
dep_status,whether filer is a dependent,puf,DSI,NA,2017,NA,NA
filing_status,filing status,puf,MARS,NA,2017,NA,NA
male1,whether primary filer is male,imputed,NA,NA,2017,NA,NA
male2,whether secondary filer is male,imputed,NA,NA,2017,NA,NA
age1,age of primary filer,imputed,NA,NA,2017,NA,NA
age2,age of secondary filer,imputed,NA,NA,2017,NA,NA
blind1,whether primary filer is blind,imputed,NA,NA,2017,NA,NA
blind2,whether secondary filer is blind,imputed,NA,NA,2017,NA,NA
parent_rank,parent's rank in the income distribution as a child,imputed,NA,NA,2017,NA,NA
n_dep,number of dependents,derived,NA,NA,2017,NA,NA
dep_age1,age of youngest dependent,imputed,NA,NA,2017,NA,NA
dep_age2,age of second youngest dependent,imputed,NA,NA,2017,NA,NA
dep_age3,age of oldest dependent,imputed,NA,NA,2017,NA,NA
dep_ssn1,whether youngest dependent has a SNN,imputed,NA,NA,2017,NA,NA
dep_ssn2,whether second youngest dependent has a SNNi,mputed,NA,NA,2017,NA,NA
dep_ssn3,whether oldest dependent has a SNN,imputed,NA,NA,2017,NA,NA
n_dep_ctc,number of CTC-qualifying children under 2015 rules,puf,N24,NA,2017,NA,NA
dep_ctc1,whether youngest dependent qualifies for CTC,imputed,NA,NA,2017,NA,NA
dep_ctc2,whether second youngest dependent qualifies for CTC,imputed,NA,NA,2017,NA,NA
dep_ctc3,whether oldest dependent qualifies for CTC,imputed,NA,NA,2017,NA,NA
n_dep_eitc,number of EITC-qualifying children under 2015 rules,puf,EIC,NA,2017,NA,NA
wages,W2 wages for tax unit,puf,E00200,wages,2017,NA,NA
wages1,primary filer's share of wages,imputed,NA,wages,2017,NA,NA
wages2,secondary filer's share of wages,imputed,NA,wages,2017,NA,NA
ot,FLSA-eligible OT wages for tax unit,imputed,NA,wages,2017,NA,NA
ot1,FLSA-eligible OT wages for primary earner,imputed,NA,wages,2017,NA,NA
ot2,FLSA-eligible OT wages for secondary earner,imputed,NA,wages,2017,NA,NA
tips,tipped wage income for tax unit,imputed,NA,wages,2017,NA,NA
tips1,tipped wage income for primary earner,imputed,NA,wages,2017,NA,NA
tips2,tipped wage income for secondary earner,imputed,NA,wages,2017,NA,NA
tips_lh1,whether tips for primary earner are derived from leisure and hospitality industry,imputed,NA,NA,2017,NA,NA
tips_lh2,whether tips for secondary earner are derived from leisure and hospitality industry,imputed,NA,NA,2017,NA,NA
ei_prior_yr,W2 wages and SE income in prior year for tax unit,puf,NA,wages,2017,NA,NA
trad_contr_er1,primary filer's contributions to pretax savings accounts,imputed,NA,wages,2017,NA,NA
trad_contr_er2,secondary filer's contributions to pretax savings accounts,imputed,NA,wages,2017,NA,NA
txbl_int,taxable interest income,puf,E00300,int,2017,NA,NA
exempt_int,tax-exempt interest income,puf,E00400,int,2017,NA,NA
div_ord,non-preferred dividend income,derived,NA,div,2017,NA,NA
div_pref,preferred-rate dividend income,puf,E00650,div,2017,NA,NA
state_ref,state income tax refunds,puf,E00700,income,2017,NA,NA
alimony,alimony received,puf,E00800,wages,2017,NA,NA
divorce_year,year of divorce if divorced,imputed,NA,NA,2017,NA,NA
sole_prop,Schedule C net income,puf,E00900,pt,2017,NA,NA
sole_prop1,primary filer's share of Schedule C net income,imputed split,NA,pt,2017,NA,NA
sole_prop2,secondary filer's share of Schedule C net income,imputed split,NA,pt,2017,NA,NA
wagebill_sole_prop,owner's share of W2 wages paid in sole proprietorship,imputed,NA,wages,2017,NA,NA
sstb_sole_prop,whether filer's sole prop income comes from a SSTB,imputed,NA,NA,2017,NA,NA
kg_st,short-term net capital gain carryover,puf,P22250,kg,2017,NA,NA
kg_lt,long-term net capital gain,puf,P23250,kg,2017,NA,NA
kg_lt_years_held,weighted-average holding period in years for long-term gains,imputed,NA,NA,2017,NA,NA
kg_lt_basis,imputed cost basis for long-term gains,imputed,NA,kg,2017,NA,NA
kg_1250,unrecaptured Section 1250 gain,puf,E24515,kg,2017,NA,NA
kg_collect,28% collectibles gain,puf,E24518,kg,2017,NA,NA
other_gains,other capital gains reported on Form 1040,puf,E01200,kg,2017,NA,NA
txbl_ira_dist,taxable IRA distributions,puf,E01400,pensions,2017,NA,NA
gross_pens_dist,total pensions and annuities received,puf,E01500,pensions,2017,NA,NA
txbl_pens_dist,taxable pensions and annueities received,puf,E01700,pensions,2017,NA,NA
part_active,nonpassive partnership net income,puf,E25980,pt,2017,NA,NA
part_active_loss,nonpassive partnership net loss,puf,E25960,pt,2017,NA,NA
part_passive,passive partnership net income,puf,E25940,pt,2017,NA,NA
part_passive_loss,passive partnership net loss,puf,E25920,pt,2017,NA,NA
part_179,partnership Section 179 deduction,puf,E26110,pt,2017,NA,NA
part_se,partnership income subject to SECA,derived,NA,pt,2017,NA,NA
part_se1,primary filer's share of partnership income subject to SECA,imputed,NA,pt,2017,NA,NA
part_se2,secondary filer's share of partnership income subject to SECA,imputed,NA,pt,2017,NA,NA
wagebill_part,owner's share of W2 wages paid in partnerships,imputed,NA,wages,2017,NA,NA
sstb_part,whether filer's partnership income comes from a SSTB,imputed,NA,NA,2017,NA,NA
scorp_active,nonpassive S corp net income,puf,E26190,pt,2017,NA,NA
scorp_active_loss,nonpassive S corp net loss,puf,E26180,pt,2017,NA,NA
scorp_passive,passive S corp net income,puf,E26170,pt,2017,NA,NA
scorp_passive_loss,passive S corp net loss,puf,E26160,pt,2017,NA,NA
scorp_179,S corp Section 179 deduction,puf,E26100,pt,2017,NA,NA
wagebill_scorp,owner's share of W2 wages paid in S corp,imputed,NA,wages,2017,NA,NA
sstb_scorp,whether filer's S corp income comes from a SSTB,puf,imputed,NA,2017,NA,NA
rent,rent/royalty net income,puf,E25850,rent,2017,NA,NA
rent_loss,rent/royalty net loss,puf,E25860,rent,2017,NA,NA
estate,estate or trust net income,puf,E26390,rent,2017,NA,NA
estate_loss,estate or trust net loss,puf,E26400,rent,2017,NA,NA
farm,net farm income,puf,E02100,pt,2017,NA,NA
farm1,primary filer's share of net farm income,imputed split,NA,pt,2017,NA,NA
farm2,secondary filer's share of net farm income,imputed split,NA,pt,2017,NA,NA
wagebill_farm,owner's share of W2 wages paid in farm business,imputed,NA,wages,2017,NA,NA
sstb_farm,whether filer's farm income comes from a SSTB,imputed,NA,NA,2017,NA,NA
ui,unemployment insurance income,puf,E02300,ui,2017,NA,NA
gross_ss,gross OASI benefits,puf,E02400,ss,2017,NA,NA
nols,net operating losses,imputed,NA,income,2017,NA,NA
other_inc,other income,derived,NA,income,2017,NA,NA
ed_exp,educator expenses,puf,E03220,income,2017,NA,NA
hsa_contr,"health savings account contributions, nonwithheld",puf,E03290,wages,2017,NA,NA
