variable,description,source,name_puf,grow_with,base_year,impute_module,calibrate_source
trad_contr_ira,pretax IRA contributions,puf,E03150,income,2017,NA,NA
sl_int_ded,student loan interest dedution,puf,E03210,income,2017,NA,NA
keogh_contr,payments to Keough accounts,puf,E03300,wages,2017,NA,NA
se_health,self-employed health insurance deduction,puf,E03270,wages,2017,NA,NA
early_penalty,penalty for early withdraw of retirement funds,puf,E03400,income,2017,NA,NA
alimony_exp,alimony paid,puf,E03500,wages,2017,NA,NA
tuition_ded,tuition and fees deduction,puf,E03230,income,2017,NA,NA
dpad,domestic production activities deduction,puf,E03240,income,2017,NA,NA
char_cash,cash charitable contributions,puf,E19800,charity,2017,NA,NA
char_noncash,noncash charitable contributions,puf,E20100,charity,2017,NA,NA
other_above_ded,other above-the-line deductions,imputed,NA,income,2017,NA,NA
auto_int_exp,auto loan interest expense,imputed,NA,int,2017,NA,NA
med_exp,medical expenses for itemizers,puf,E17500,income,2017,NA,NA
salt_inc_sales,greater of state and local income or sales tax paid for itemizers,puf,E18400,salt_inc_sales,2017,NA,NA
salt_prop,state and local real estate tax paid,puf,E18500,income,2017,NA,NA
salt_pers,state and local personal property tax paid for itemizers,imputed,NA,salt_prop,2017,NA,NA
int_exp,total deductible interest expense for itemizers,puf,E19200,mortgage,2017,NA,NA
first_mort_bal,balance of first mortgage for itemizers,imputed,NA,mortgage,2017,NA,NA
second_mort_bal,balance of second mortgage for itemizers,imputed,NA,mortgage,2017,NA,NA
first_mort_year,year when first mortgage was incurred for itemizers,imputed,NA,NA,2017,NA,NA
second_mort_year,year when second mortgage was incurred for itemizers,imputed,NA,NA,2017,NA,NA
first_mort_int,interest paid on first mortgage for itemizers,imputed,NA,mortgage,2017,NA,NA
second_mort_int,interest paid on second mortgage for itemizers,imputed,NA,mortgage,2017,NA,NA
prim_mort_share,share of mortgage interest attributable to mortgage on primary residence,imputed,NA,NA,2017,NA,NA
inv_int_exp,investment interest expense for itemizers,imputed,NA,int,2017,NA,NA
casualty_exp,casualty and theft losses for itemizers,puf,E20500,income,2017,NA,NA
job_exp,unreimbursed employee expenses for itemizers,puf,E20550,income,2017,NA,NA
tax_prep_exp,tax preparation fees for itemizers,puf,E20600,income,2017,NA,NA
other_misc_exp,other miscellanous deductions subject to AGI limit for itemizers,puf,E20400,income,2017,NA,NA
other_item_exp,other itemized deductions,derived,NA,income,2017,NA,NA
amt_nols,AMT NOL preference plus other adjustments,puf,P60100,income,2017,NA,NA
amt_ftc,alternative minimum foreign tax credit,puf,E62900,income,2017,NA,NA
excess_ptc,excess advance PTC payment after limitation,puf,E85785,income,2017,NA,NA
ftc,foreign tax credit,puf,E07300,income,2017,NA,NA
care_exp,"Child and Dependent Care Tax Credt qualifying expenses, limited to $3K/$6K",puf,E32800,income,2017,NA,NA
aoc_exp,American Opprunity Credit expenses limited to $4K,puf,P87482,income,2017,NA,NA
llc_exp,Lifetime Learning Credit expenses,puf,E87530,income,2017,NA,NA
old_cred,elderly or disabled credit,puf,E07200,ss,2017,NA,NA
savers_cred,retirement contribution credit,puf,E07240,income,2017,NA,NA
res_energy_cred,residential energy credits,puf,E07260,income,2017,NA,NA
gbc,General Business Credit,puf,E07400,income,2017,NA,NA
prior_yr_cred,credit for prior year minimum tax,puf,E07600,income,2017,NA,NA
other_nonref,other nonrefundable tax credits,puf,P08000,income,2017,NA,NA
net_ptc,net Premium Tax Credit,puf,E11560,income,2017,NA,NA
recapture_tax,recpature taxes,puf,E09700,income,2017,NA,NA
ira_penalty,penalty tax on IRA,puf,E09900,income,2017,NA,NA
c_clothing,PCE: clothing and footwear,imputed,NA,c_clothing,2017,NA,NA
c_motor_vehicles,PCE: motor vehicles and parts,imputed,NA,c_motor_vehicles,2017,NA,NA
c_durables,"PCE: other durables, furnishings, and recreational goods (collapsed)",imputed,NA,c_durables,2017,NA,NA
c_other_nondurables,PCE: other nondurable goods,imputed,NA,c_other_nondurables,2017,NA,NA
c_food_off_premises,PCE: food and beverages off premises,imputed,NA,c_food_off_premises,2017,NA,NA
c_gasoline,PCE: gasoline and energy goods,imputed,NA,c_gasoline,2017,NA,NA
c_housing_utilities,PCE: housing and utilities (collapsed),imputed,NA,c_housing_utilities,2017,NA,NA
c_other_services_health,PCE: other services and health care (collapsed),imputed,NA,c_other_services_health,2017,NA,NA
cash,SCF liquid + CDs,imputed,NA,NA,2022,imputations/wealth.R,NA
equities,SCF directly-held stocks + stock and combined mutual funds,imputed,NA,NA,2022,imputations/wealth.R,NA
bonds,SCF bonds + savings bonds + tax-free/govt/other bond mutual funds,imputed,NA,NA,2022,imputations/wealth.R,NA
retirement,SCF IRA/Keogh + thrift + future + current pension accounts,imputed,NA,NA,2022,imputations/wealth.R,NA
life_ins,SCF cash-value life insurance,imputed,NA,NA,2022,imputations/wealth.R,NA
annuities,SCF annuities,imputed,NA,NA,2022,imputations/wealth.R,NA
trusts,SCF managed trusts and annuities in trust,imputed,NA,NA,2022,imputations/wealth.R,NA
other_fin,SCF other financial assets + other mutual funds,imputed,NA,NA,2022,imputations/wealth.R,NA
pass_throughs,SCF business equity (sole prop/S-corp/partnership/farm),imputed,NA,NA,2022,imputations/wealth.R,NA
primary_home,SCF primary residence value,imputed,NA,NA,2022,imputations/wealth.R,NA
other_home,SCF other residential real estate value,imputed,NA,NA,2022,imputations/wealth.R,NA
re_fund,SCF non-residential real estate value,imputed,NA,NA,2022,imputations/wealth.R,NA
other_nonfin,SCF vehicles + other nonfinancial assets,imputed,NA,NA,2022,imputations/wealth.R,NA
primary_mortgage,SCF primary residence mortgage + HELOC balance,imputed,NA,NA,2022,imputations/wealth.R,NA
other_mortgage,SCF other residential real estate debt,imputed,NA,NA,2022,imputations/wealth.R,NA
credit_lines,SCF other lines of credit (non-RE),imputed,NA,NA,2022,imputations/wealth.R,NA
credit_cards,SCF credit card balance,imputed,NA,NA,2022,imputations/wealth.R,NA
installment_debt,SCF installment loan balance,imputed,NA,NA,2022,imputations/wealth.R,NA
other_debt,SCF other debt,imputed,NA,NA,2022,imputations/wealth.R,NA
kg_primary_home,SCF unrealized capital gains on primary residence,imputed,NA,NA,2022,imputations/wealth.R,NA
kg_other_re,SCF unrealized capital gains on other real estate,imputed,NA,NA,2022,imputations/wealth.R,NA
kg_pass_throughs,SCF unrealized capital gains on business equity,imputed,NA,NA,2022,imputations/wealth.R,NA
kg_other,SCF unrealized capital gains on stocks + mutual funds,imputed,NA,NA,2022,imputations/wealth.R,NA
