rank_group,rank_min,rank_max,fiscal_income_to_wealth,category,share
top100,1,100,0.0175148043,capital_gains,0.62
top100,1,100,0.0175148043,dividends,0.28
top100,1,100,0.0175148043,interest,0.11
top100,1,100,0.0175148043,business,-0.11
top100,1,100,0.0175148043,rent_estate_other,0.06
top100,1,100,0.0175148043,wages_pensions,0.05
next300,101,400,0.0346266277,capital_gains,0.60
next300,101,400,0.0346266277,dividends,0.16
next300,101,400,0.0346266277,interest,0.08
next300,101,400,0.0346266277,business,0.04
next300,101,400,0.0346266277,rent_estate_other,0.06
next300,101,400,0.0346266277,wages_pensions,0.05
rest_billionaires,401,999999,0.0346266277,capital_gains,0.60
rest_billionaires,401,999999,0.0346266277,dividends,0.16
rest_billionaires,401,999999,0.0346266277,interest,0.08
rest_billionaires,401,999999,0.0346266277,business,0.04
rest_billionaires,401,999999,0.0346266277,rent_estate_other,0.06
rest_billionaires,401,999999,0.0346266277,wages_pensions,0.05
